ISIN;nom;ticker
DE0006214687;Müller - Die lila Logistik AG;MLL
DE0006219934;Jungheinrich AG;juin-03
DE0006223407;ProCredit Holding AG & Co KGaA;PCZ
DE0006223605;Intertainment AG;ITN
DE0006229107;Jenoptik AG;JEN
DE0006231004;Infineon Technologies AG;IFX
DE0006286560;OVB Holding AG;O4B
DE0006292006;KSB AG;KSB
DE0006292030;KSB AG;KSB3
DE0006305006;Deutz AG;DEZ
DE0006335003;Krones AG;KRN
DE0006450000;LPKF Laser & Electr;LPK
DE0006452907;Nemetschek AG;NEM
DE0006464506;Leifheit AG;LEI
DE0006569403;ALBIS Leasing AG;ALG
DE0006569908;MLP AG;MLP
DE0006577109;NanoRepro AG;NN6
DE0006578008;KHD Humboldt Wedag International AG;KWG
DE0006580806;Mensch und Maschine Software SE;MUM
DE0006595101;MEDICLIN Aktiengesellschaft;MED
DE0006599905;Merck KGaA;MRK
DE0006602006;GEA Group AG;G1A
DE0006605009;Medion AG;MDN
DE0006627201;Muehlbauer Holding AG;MUB
DE0006632003;Morphosys AG;MOR
DE0006766504;Aurubis AG;NDA
DE0006916604;Pfeiffer Vacuum Tec;PFV
DE0006942808;Scherzer & Co. AG;PZS
DE0006967805;PRO DV AG;PDA
DE0006968001;Progress-Werk Oberk;PWO
DE0006969603;Puma SE;PUM
DE0006972508;publity AG;PBY
DE0007008906;RealTech AG;RTC
DE0007010803;Rational AG;RAA
DE0007030009;Rheinmetall AG;RHM
DE0007037129;RWE;RWE
DE0007042301;Rhoen Klinikum AG;RHK
DE0007074007;KWS Saat AG;KWS
DE0007100000;Mercedes-Benz Groug AG;MBG
DE0007164600;SAP AG;SAP
DE0007165607;Sartorius AG;SRT
DE0007165631;Sartorius AG;SRT3
DE0007193500;Koenig & Bauer AG;SKB
DE0007201907;First Sensor AG;SIS
DE0007203705;SNP Schneider-Neureither & Partner AG;SHF
DE0007229007;Schloss Wachenheim ;SWA
DE0007231326;Sixt AG;SIX2
DE0007231334;Sixt AG VZO O.N.;SIX3
DE0007235301;SGL Carbon SE;SGL
DE0007236101;Siemens AG;SIE
DE0007257503;Ceconomy;CEC
DE0007274136;STO SE & Co KGaA;STO3
DE0007276503;Secunet Security Networks AG;YSN
DE0007279507;Splendid Medien AG;SPM
DE0007297004;Suedzucker AG;SZU
DE0007314007;Heidelberger Druckm;HDD
DE0007446007;Takkt AG;TTK
DE0007448508;IVU Traffic Technol;IVU
DE0007461006;PVA TePla AG;TPE
DE0007480204;Deutsche Euroshop A;DEQ
DE0007493991;Stroer Out-of-Home ;SAX
DE0007500001;ThyssenKrupp AG;TKA
DE0007501009;TTL Beteiligungs- und Grundbesitz-AG;TTO
DE0007507501;Washtec AG;WSU
DE0007551509;Uzin Utz AG;UZU
DE0007568578;SFC Energy AG;F3C
DE0007612103;Going Public Media Aktiengesellschaft;G6P
DE0007657231;Villeroy & Boch AG;VIB3
DE0007664005;Volkswagen AG;VOW
DE0007664039;Volkswagen AG;VOW3
DE0007667107;Vossloh AG;VOS
DE0007830572;Daldrup & Söhne Aktiengesellschaft;4DS
DE0007846867;Viscom AG;V6C
DE0007856023;ElringKlinger AG;ZIL2
DE0007857476;Klassik Radio AG;KA8
DE0008019001;Deutsche Pfandbriefbank AG;PBB
DE0008041005;Deutsche Effecten- und Wechsel-Beteiligungsgesells;EFF
DE0008051004;Wuestenrot & Wuertt;WUW
DE0008148206;Merkur PrivatBank KgaA;MBK
DE0008232125;Deutsche Lufthansa ;LHA
DE0008303504;TAG Immobilien AG;TEG
DE0008402215;Hannover Rueckversi;HNR1
DE0008404005;Allianz SE;ALV
DE0008430026;Muenchener Rueckver;MUV2
DE0008435967;Nuernberger Beteili;NBG6
DE000A0B9N37;JDC Group AG;JDC
DE000A0B9VV6;Coreo AG;CORE
DE000A0BL849;VITA 34 AG;V3V
DE000A0BVU28;USU Software AG;OSP2
DE000A0D6554;Nordex SE;NDX1
DE000A0D9PT0;MTU Aero Engines Ho;MTX
DE000A0DJ6J9;SMA Solar Technolog;S92
DE000A0DNAY5;bet-at-home.com AG;ACX
DE000A0EQ578;HELMA Eigenheimbau AG;H5E
DE000A0ETBQ4;MBB Industries AG;MBB
DE000A0F5UH1;iShares STOXX Global Select Dividend 100 UCITS ETF (DE);ISPA
DE000A0H08L5;iShares STOXX Europe 600 Media UCITS ETF (DE);EXH6
DE000A0H52F5;MVV Energie AG;MVV1
DE000A0HGQS8;Plan Optik AG;P4O
DE000A0HHJR3;Cliq Digital AG;CLIQ
DE000A0HL8N9;2G Energy AG;2GB
DE000A0HN5C6;Deutsche Wohnen AG;DWNI
DE000A0HNF96;InCity Immobilien AG;IC8
DE000A0JBPG2;PNE Wind AG;PNE3
DE000A0JC8S7;Datagroup SE;D6H
DE000A0JCY11;Mynaric AG;M0YN
DE000A0JDBC7;Limes Schlosskliniken AG;LIK
DE000A0JJTG7;Gateway Real Estate AG;GTY
DE000A0JL9W6;VERBIO Vereinigte B;VBK
DE000A0JM2M1;Blue Cap AG;B7E
DE000A0JQ5U3;Manz AG;M5Z
DE000A0KEXC7;Vectron Systems AG;V3S
DE000A0KFKB3;Accentro Real Estate AG;A4Y
DE000A0KFKH0;elexxion AG;E8X
DE000A0KFRJ1;CytoTools AG;T5O
