ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
IT0005472730;AGP.MI;Technology;Solar;https://www.alteagreenpower.it/;Altea Green Power S.p.A.;6,57;2,21;2,97;2,02;0,46;0
FR0000071946;ATE.PA;Technology;Information Technology Services;https://www.alten.com/;Alten S.A.;77,65;65,31;1,19;0,82;0,66;0,02
IE00BLRPRP89;ALT.OL;Utilities;Utilities - Renewable;https://alternusce.com/;Alternus Energy Group Plc;0,2795;8,46;0,03;0,04;0,22;0
FR0000061244;ALORA.PA;Industrials;Electrical Equipment & Parts;https://www.altheora.com/;Altheora SA;0,382;2,68;0,14;0,12;0,36;0
PTALT0AE0002;ALTR.LS;;;https://twitter.com/YahooFinance;;0;0;0;0;0,34;0
NL0012194724;ALX.AS;Consumer Cyclical;Internet Retail;https://alumexx.nl/;Alumexx N.V.;0;0;0;0;0,1;0
FR0013253812;MLALV.PA;Real Estate;Real Estate Services;https://www.alveen.com/;Alveen S.A.;0,1;0;0;0;0;0
GB00BNKGZC51;ALAMA.PA;Healthcare;Health Information Services;https://www.amaxperteye.com/;AMA Corporation Plc;0,16;0,24;0,67;0,47;1,7;0
DE0005093108;AAD.DE;Industrials;Staffing & Employment Services;https://www.amadeus-fire.de/;Amadeus FiRe AG;78,4;42,63;1,84;1,69;0,44;0,06
ES0109067019;AMS.MC;Technology;Information Technology Services;https://www.amadeus.com/;Amadeus IT Group, S.A.;67,4;23,2;2,91;3,14;0,41;0,03
NL0010273694;MLAAH.PA;Consumer Defensive;Farm Products;https://www.amatheon-agri.com/;Amatheon Agri Holding N.V.;0,022;0;0;0;0;0
IT0004779515;AMB.MI;Financial Services;Capital Markets;https://www.ambromobiliare.it/;Ambromobiliare S.p.A.;1,175;0,84;1,4;0,99;0,76;0
NL0000888691;AMG.AS;Basic Materials;Other Industrial Metals & Mining;https://www.amg-nv.com/;AMG Critical Materials N.V.;14,31;62,25;0,23;0,19;0,25;0,14
FR0011051598;ALMIB.PA;Basic Materials;Agricultural Inputs;https://amoeba-nature.com/;Amoéba S.A.;0,942;0,13;7,25;9,42;0,68;0
IT0004056880;AMP.MI;Healthcare;Medical Distribution;https://corporate.amplifon.com/;Amplifon S.p.A.;25,3;17,85;1,42;1,68;0,3;0,02
FR0012789667;AMPLI.PA;Healthcare;Medical Instruments & Supplies;https://www.amplitude-surgical.com/;Amplitude Surgical SA;3,24;4,66;0,7;0,56;0,38;0
NO0010272065;AMSC.OL;Industrials;Marine Shipping;https://www.amscasa.com/;AMSC ASA;26,3;26,72;0,98;5,37;1;0,44
FR0004125920;AMUN.PA;Financial Services;Asset Management;https://legroupe.amundi.com/;Amundi S.A.;64,7;142,13;0,46;0,43;0,32;0
NO0010829765;ANDF.OL;;;;;39,9;0;0;0;0;0
NO0010014632;AZT.OL;Healthcare;Biotechnology;https://www.arcticzymes.com/;ArcticZymes Technologies ASA;13,68;6,18;2,21;2,25;1,92;0
FR0013398997;ALCUR.PA;Industrials;Specialty Industrial Machinery;https://www.arcure.net/;Arcure S.A.;4,55;2,34;1,94;1,05;0,45;0
NO0003572802;AFK.OL;Industrials;Conglomerates;https://arendalsfossekompani.no/;Arendals Fossekompani ASA;144;118;1,22;0,79;0,33;0,01
FR0010481960;ARG.PA;Real Estate;REIT - Industrial;https://www.argan.fr/;Argan SA;62,2;162,08;0,38;0,7;0,5;0,05
NL0010832176;ARGX.BR;Healthcare;Biotechnology;https://www.argenx.com/;argenx SE;580,8;77,84;7,46;7,24;0,89;0
NO0010946593;ARGEO.OL;Energy;Oil & Gas Equipment & Services;https://argeo.no/;Argeo ASA;10,3;2,1;4,9;5,92;0,44;0
NL0015000N33;ARIS.MI;Industrials;Building Products & Equipment;https://www.aristongroup.com/;Ariston Holding N.V.;3,762;19,64;0,19;0,11;0,39;0
FR0010313833;AKE.PA;Basic Materials;Specialty Chemicals;https://www.arkema.com/;Arkema S.A.;75,4;122,78;0,61;0,45;0,49;0,04
NO0012861667;ARR.OL;Technology;Information Technology Services;https://www.arribatec.com/;Arribatec Group ASA;0,358;1,02;0,35;0,25;0,49;0
FR0012185536;ARTE.PA;Real Estate;Real Estate Services;https://www.groupe-artea.fr/;Artea SA;9,1;81,93;0,11;0,1;0,2;0
IT0005386369;ARBS.MI;Healthcare;Biotechnology;https://www.arterrabio.it/;ARTERRA BIOSCIENCE;1,99;1,92;1,04;1,37;1,21;0
FR0000074783;PRC.PA;Communication Services;Internet Content & Information;https://www.artprice.com/;Artmarket.com;4,1;4,59;0,89;1,06;0,73;0
FR0000076952;ARTO.PA;Technology;Computer Hardware;https://sif-artois.fr/;Société Industrielle et Financière de l'Artois Société anonyme;10100;0;0;0;0,94;0
FR001400JWR8;ARVEN.PA;Utilities;Utilities - Renewable;https://www.arverne.earth/;Arverne Group S.A.;4;0;0;0;0;0
BE0003856730;ASCE.BR;Real Estate;REIT - Retail;https://www.ascencio.be/;Ascencio SA;47;118,22;0,4;0,88;0,57;0,17
IT0004093263;ASC.MI;Utilities;Utilities - Regulated Gas;https://www.gruppoascopiave.it/;Ascopiave S.p.A.;2,675;3,07;0,87;0,76;0,59;2,02
FR0012968485;MLAEM.PA;;;https://twitter.com/YahooFinance;;1,6;0;0;0;0;0
IT0005337123;EVA.MI;Consumer Cyclical;Recreational Vehicles;https://www.askollelectric.com/;Askoll EVA SpA;0,128;0;0;0;0;0
