ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
JE00BRX98089;CVC.AS;Financial Services;Asset Management;https://www.cvc.com/;CVC Capital Partners plc;21,82;0;0;0;0;0
IT0005412504;CY4.MI;Technology;Software - Infrastructure;https://www.cy4gate.com/;Cy4gate S.p.A.;4,81;4,1;1,17;0,7;0,52;0
FR0014004QR6;FR0014004QR6.SG;;;https://twitter.com/YahooFinance;;0,0001;0;0;0;0;0
FR0013507985;CYBKA.PA;;;https://twitter.com/YahooFinance;;0,002;0;0;0;0,51;0
FR0013508009;CYBKB.PA;;;https://twitter.com/YahooFinance;;0,0005;0;0;0;0,51;0
IT0005546103;CYB.MI;Technology;Software - Infrastructure;https://cyberoo.com/;Cyberoo S.p.A.;2,16;0,64;3,38;2,23;0,78;0
NO0010015175;CYVIZ.OL;Technology;Computer Hardware;https://www.cyviz.com/;Cyviz AS;31,9;16,27;1,96;1,07;0,31;0
LU2592315662;DIS.MI;Industrials;Marine Shipping;https://www.damicointernationalshipping.com/;d'Amico International Shipping S.A.;4,04;9,14;0,44;0,76;0,68;0
BE0974259880;DIE.BR;Consumer Cyclical;Auto & Truck Dealerships;https://www.dieterengroup.com/;D'Ieteren Group SA;165,4;101,35;1,63;1,23;0,5;0,01
FR0010404368;ALDLS.PA;Industrials;Staffing & Employment Services;https://www.groupedlsi.com/;DLSI;12;32,5;0,37;0,23;0,62;0,24
IE00BJMZDW83;DHG.IR;Consumer Cyclical;Lodging;https://dalatahotelgroup.com/;Dalata Hotel Group plc;4,465;11,61;0,38;0,79;0,56;0
FR0000185423;ALDAR.PA;Consumer Cyclical;Apparel Retail;https://www.damartex.com/;Damartex;5,62;36,19;0,16;0,11;0,21;0,43
IT0000076502;DAN.MI;Industrials;Specialty Industrial Machinery;https://www.danieli.com/;Danieli & C. Officine Meccaniche S.p.A.;25;198,49;0,13;0,09;0,35;0,04
IT0000076486;DANR.MI;Industrials;Specialty Industrial Machinery;https://www.danieli.com/;Danieli & C. Officine Meccaniche S.p.A.;19,24;204,09;0,09;0,06;0,35;0,08
FR0000120644;BN.PA;Consumer Defensive;Packaged Foods;https://www.danone.com/;Danone S.A.;65,24;54,69;1,19;1,02;0,38;0,04
FR0014004L86;AM.PA;Industrials;Aerospace & Defense;https://www.dassault-aviation.com/;Dassault Aviation société anonyme;190,1;298,37;0,64;0,41;0,25;0,01
FR0014003TT8;DSY.PA;Technology;Software - Application;https://www.3ds.com/;Dassault Systèmes SE;34,97;0;0;0;0,57;0,01
IE0000527006;DLE.IR;Technology;Software - Application;https://www.datalex.com/;Datalex plc;0,35;0,13;2,69;3,89;1,23;0
IT0004053440;DAL.MI;Technology;Scientific & Technical Instruments;https://www.datalogic.com/;Datalogic S.p.A.;5,22;8,08;0,65;0,49;0,58;0,59
IT0005468357;DATA.MI;Technology;Software - Infrastructure;https://www.datrixgroup.com/;Datrix S.p.A.;1,03;2,3;0,45;0,24;0,55;0
IT0005285942;DBA.MI;Industrials;Engineering & Construction;https://www.dbagroup.it/;DBA Group S.p.A.;2,9;5,78;0,5;0,29;0,3;0
FR001400LO86;ALDBT.PA;Industrials;Specialty Industrial Machinery;https://www.dbt.fr/;DBT SA;0,3986;4,11;0,1;0,08;0,38;0
FR0010417345;DBV.PA;Healthcare;Biotechnology;https://www.dbv-technologies.com/;DBV Technologies S.A.;0,66;0,91;0,73;0,63;0,72;0
IT0003115950;DLG.MI;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.delonghigroup.com/;De'Longhi S.p.A.;30,2;16,59;1,82;1,19;0,51;0,09
BE0003789063;DECB.BR;Industrials;Building Products & Equipment;https://www.deceuninck.com/;Deceuninck NV;2,345;4,82;0,49;0,46;0,46;0,52
NO0010955917;DVD.OL;Energy;Oil & Gas Drilling;https://www.deepvaluedriller.no/;Deep Value Driller AS;15,88;1,67;9,51;8,36;0,09;0
FR001400AYG6;DEEZR.PA;Communication Services;Entertainment;https://www.deezer.com/;Deezer S.A.;1,335;1,66;0,8;1,27;1,71;0
FR0000062978;DKUPL.PA;Communication Services;Advertising Agencies;https://www.dekuple.com/en;ADLPartner SA;36,3;43,78;0,83;0,5;0,21;0,19
FR0000054132;ALDEL.PA;Consumer Cyclical;Auto Parts;https://www.delfingen.com/;Delfingen Industry S.A.;13,8;111,2;0,12;0,09;0,4;0,19
DE000A2E4K43;DHER.DE;Consumer Cyclical;Internet Retail;https://www.deliveryhero.com/;Delivery Hero SE;31,63;47,6;0,66;0,78;0,18;0
FR0013283108;FR0013283108.SG;;;https://twitter.com/YahooFinance;;63;0;0;0;0;0
BE0974413453;DEME.BR;Industrials;Engineering & Construction;https://www.deme-group.com/;DEME Group NV;142,4;186,95;0,76;0,8;0,43;0
IT0005528937;ART.MI;Consumer Cyclical;Leisure;https://deodato.group/;Deodato.Gallery S.p.A.;0,354;0,27;1,31;0,84;0,44;0
IT0005543480;DEX.MI;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.italiandesignbrands.com/;Dexelance S.p.A.;9;14,67;0,61;0,51;0,34;0
NL0009169515;DGB.AS;Basic Materials;Lumber & Wood Production;https://www.green.earth/;DGB Group N.V.;0,896;0,53;1,69;1,02;0,84;5,4
IT0005203622;DHH.MI;Technology;Software - Infrastructure;https://dhh.international/;Dominion Hosting Holding S.p.A.;23,4;7,62;3,07;2,41;0,44;0
FR001400IAQ8;DMSBS.PA;;;https://twitter.com/YahooFinance;;0,0005;0;0;0;0,27;0
FR0012202497;ALDMS.PA;Healthcare;Medical Devices;https://www.dms.com/;Diagnostic Medical Systems S.A.;0,72;2,32;0,31;0,18;0,27;0
IT0003492391;DIA.MI;Healthcare;Diagnostics & Research;https://diasoringroup.com/en;DiaSorin S.p.A.;102,6;35,28;2,91;2,34;0,52;0,01
BE0003698124;DIEG.BR;Real Estate;Real Estate Services;https://issgovernance.com/quickscore;Immolease Trust NV;108;0;0;0;0;0
IT0001469995;DIB.MI;Communication Services;Electronic Gaming & Multimedia;https://digitalbros.com/;Digital Bros S.p.A.;10,12;5,86;1,73;1,29;0,62;0
IT0005347429;DGV.MI;Technology;Information Technology Services;https://www.digitalvalue.it/;Digital Value S.p.A.;23,4;69,3;0,34;0,21;0,26;0
IT0005089476;DGT.MI;Communication Services;Advertising Agencies;https://www.gruppodigitouch.it/;DigiTouch S.p.A.;1,94;2,95;0,66;0,4;0,34;0
IT0001463063;D.MI;Financial Services;Capital Markets;https://www.directa.it/;Directa Sim S.p.A.;3,99;5,06;0,79;0,49;0,44;0
BE0003605160;DISL.BR;Real Estate;Real Estate Services;https://issgovernance.com/quickscore;Immobiliere Distri-Land NV;191;0;0;0;0;0,05
BE0974289218;BE0974289218.SG;;;https://twitter.com/YahooFinance;;0,0156;0;0;0;0;0
NO0010161896;DNB.OL;Financial Services;Banks - Regional;https://www.dnb.no/;DNB Bank ASA;229,5;0;0;0;0,07;0,02
NO0003921009;DNO.OL;Energy;Oil & Gas E&P;https://www.dno.no/;DNO ASA;10,18;2,78;3,66;3,18;0,4;0
FR0010436584;ALDNX.PA;Communication Services;Internet Content & Information;https://www.dnxcorp.com/;DNXCorp SE;16,75;6,07;2,76;1,62;0,7;0,65
FR0000065260;DPAM.PA;Energy;Oil & Gas Refining & Marketing;https://www.dpasa.fr/;Les Docks des Pétroles d'Ambès -SA;585;0;0;0;0,21;0,01
NO0012851874;DOFG.OL;Industrials;Engineering & Construction;https://www.dof.com/;DOF Group ASA;82,8;11,22;7,38;8,62;0,43;0
FR0014004QZ9;ALDOL.PA;Energy;Oil & Gas Equipment & Services;https://www.dolfines.com/;Dolfines SA;1,68;2,81;0,6;0,54;0,14;0
NO0012595950;DDRIL.OL;Energy;Oil & Gas Drilling;https://www.dolphindrilling.com/;Dolphin Drilling AS;3,11;0,63;4,94;4,04;0,4;0
IE000TIRQBE1;DQ7A.IR;Consumer Defensive;Farm Products;https://www.donegaligroup.com/;Donegal Investment Group plc;16,6;21,26;0,78;0,64;0,58;0,17
FR0013331212;ALDNE.PA;Communication Services;Electronic Gaming & Multimedia;https://dontnod-bourse.com/;Don't Nod Entertainment S.A.;1,21;5,46;0,22;0,19;0,98;0
IT0001044996;DOV.MI;Financial Services;Banks - Regional;https://www.dovalue.it/;doValue S.p.A.;1,416;29,11;0,05;0,05;0,06;0
IT0005394413;DOX.MI;Technology;Software - Infrastructure;https://www.doxee.com/;Doxee S.p.A.;1,52;5,66;0,27;0,33;0,14;0
FR0013088606;ALDRV.PA;Technology;Computer Hardware;https://www.dronevolt.com/;Drone Volt SA;0,3685;0;0;0;0;0
FR0014007951;BNBS.PA;;;https://twitter.com/YahooFinance;;0,001;0;0;0;0;0
CH1216478797;DSFIR.AS;Basic Materials;Specialty Chemicals;https://www.dsm-firmenich.com/;DSM-Firmenich AG;101,45;58,55;1,73;1,33;0,69;0
DE0005565204;DUE.DE;Industrials;Specialty Industrial Machinery;https://www.durr-group.com/;Dürr Aktiengesellschaft;22,66;57,61;0,39;0,22;0,24;0,11
FR0014004339;ALAGO.PA;Utilities;Utilities - Renewable;https://www.e-pango.com/;E-Pango SA;0,101;0,87;0,12;0,13;0,52;0
IT0005557514;EGB.MI;Industrials;Building Products & Equipment;https://www.e-globe.it/;E-Globe S.p.A.;0,86;0;0;0;0;0
IT0005391229;E9IA.MI;Technology;Scientific & Technical Instruments;https://www.e-novia.it/;e-Novia S.p.A.;2,18;1,25;1,74;2,45;0,26;0
DE000ENAG999;EOAN.DE;Utilities;Utilities - Diversified;https://www.eon.com/;E.ON SE;11,855;0;0;0;0,15;0,39
IT0005581365;EPH.MI;Consumer Cyclical;Internet Retail;https://www.epricespa.it/;E.P.H.;0,18;0;0;0;16;0
FR0010428771;EFG.PA;Communication Services;Entertainment;https://finance.eaglefootballgroup.com/;Eagle Football Group SA;1,95;5,44;0,36;0,29;0,05;0
NO0010607781;NO0010607781.SG;;;https://twitter.com/YahooFinance;;0,0022;0;0;0;0;0
NL0000345627;EAS2P.AS;Technology;Software - Infrastructure;https://investor.ease2pay.eu/;Ease2pay N.V.;0,45;0,22;2,05;1,36;0,71;959,47
FR0007200100;MLEDR.PA;Utilities;Utilities - Regulated Water;https://www.cer-eau.fr/;Compagnie Des Eaux De Royan;49,8;0;0;0;0;0
NL0015000CZ2;EBUS.AS;Consumer Cyclical;Auto Manufacturers;https://www.ebusco.com/;Ebusco Holding N.V.;1,3546;7,14;0,19;0,12;0,42;0
NO0010939804;NO0010939804.SG;;;https://twitter.com/YahooFinance;;0,8;0;0;0;0;0
DE0005659700;EUZ.DE;Healthcare;Medical Devices;https://www.ezag.com/;Eckert & Ziegler SE;45,82;20,55;2,23;1,87;0,52;0,02
IT0005543332;ECMB.MI;Consumer Cyclical;Packaging & Containers;https://www.ecomembrane.com/;Ecomembrane S.p.A.;4,48;4,82;0,93;0,68;0,88;0
FR0013534617;ALECO.PA;Consumer Defensive;Food Distribution;https://www.ecomiam.com/;écomiam SA;2,4;3,82;0,63;0,46;0,38;0
BE0974313455;ECONB.BR;Technology;Information Technology Services;https://www.econocom.com/;Econocom Group SE;1,92;11,79;0,16;0,1;0,2;0,83
FR0011490648;ALESA.PA;Industrials;Waste Management;https://www.ecoslops.com/;Ecoslops S.A.;0,68;0;0;0;0;0
IT0005001943;ECK.MI;Utilities;Utilities - Diversified;https://www.ecosuntek.com/;Ecosuntek S.p.A.;17,8;78,08;0,23;0,14;0,09;0
NO0010998529;EWIND.OL;Energy;Oil & Gas Equipment & Services;https://eddawind.com/;Edda Wind ASA;19,6;5,04;3,89;6,53;0,49;0
FR0010908533;EDEN.PA;Financial Services;Credit Services;https://www.edenred.com/;Edenred SE;30,7;72,19;0,43;0,34;0,04;0,06
IT0005561441;ESF.MI;Industrials;Infrastructure Operations;https://www.edilsanfelice.it/;Edil San Felice S.p.A.;3,86;0;0;0;0;0
IT0005351504;EDAC.MI;Industrials;Specialty Business Services;https://www.ediliziacrobatica.com/;EdiliziAcrobatica S.p.A.;7,88;17,36;0,45;0,27;0,19;0
IT0003372205;EDNR.MI;Utilities;Utilities - Regulated Electric;https://www.edison.it/it;Edison S.p.A.;1,86;96,2;0,02;0,02;0,49;3,51
BE0974380124;EKOP.BR;Utilities;Utilities - Regulated Water;https://ekopak.be/;Ekopak NV;14,55;5,18;2,81;1,81;0,46;0
IT0005453250;ELN.MI;Healthcare;Medical Devices;https://elengroup.com/;EL.En. S.p.A.;11,95;0;0;0;0;0,16
FR0000031023;ELEC.PA;Utilities;Utilities - Renewable;https://www.es.fr/;Électricite de Strasbourg Société Anonyme;113,5;251,85;0,45;0,36;0,25;0,04
FR0000035719;EEM.PA;Financial Services;Asset Management;https://www.eem-group.com/;Electricité et Eaux de Madagascar Société Anonyme;2,88;3,4;0,85;1,92;0,89;0
NO0010358484;EMGS.OL;Energy;Oil & Gas Equipment & Services;https://www.emgs.com/;Electromagnetic Geoservices ASA;1,99;0,27;7,37;5,38;0,14;0
NO0010911902;ELIMP.OL;Consumer Cyclical;Specialty Retail;https://www.elektroimportoren.no/;Elektroimportøren AS;13,05;21,82;0,6;0,44;0,41;0
IT0005373417;ELES.MI;Technology;Semiconductor Equipment & Materials;https://www.eles.com/;ELES Semiconductor Equipment S.p.A.;1,505;2,84;0,53;0,36;0,53;0
BE0003822393;ELI.BR;Utilities;Utilities - Regulated Electric;https://www.eliagroup.eu/;Elia Group SA/NV;79,6;226,75;0,35;0,35;0,26;0,02
IT0003404214;ELC.MI;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.elica.com/;Elica S.p.A.;1,75;5,29;0,33;0,24;0,35;0
FR0011950732;ELIOR.PA;Consumer Cyclical;Restaurants;https://www.eliorgroup.com/;Elior;2,72;16,5;0,16;0,16;0,2;1,17
FR0012435121;ELIS.PA;Industrials;Specialty Business Services;https://www.fr.elis.com/en;Elis SA;19,29;29,75;0,65;0,6;0,39;0
NO0010816093;ELK.OL;Basic Materials;Specialty Chemicals;https://www.elkem.com/;Elkem ASA;18,21;78,97;0,23;0,24;0,49;0,59
NO0010722283;ELABS.OL;Technology;Software - Infrastructure;https://www.ellipticlabs.com/;Elliptic Laboratories ASA;10,5;2,66;3,95;5,22;0,9;0
NO0010815673;ELMRA.OL;Utilities;Utilities - Regulated Electric;https://investor.elmeragroup.no/;Elmera Group ASA;39,25;38,53;1,02;0,78;0,26;0,22
NO0011002586;NO0011002586.SG;;;https://twitter.com/YahooFinance;;3,785;0;0;0;0;0
IT0005561466;ELSA.MI;Industrials;Specialty Industrial Machinery;https://elsaweb.it/;ELSA Solutions S.p.A.;2,32;0;0;0;0;0
IT0001237053;EM.MI;Industrials;Tools & Accessories;https://www.emakgroup.it/;Emak S.p.A.;0,958;3,66;0,26;0,18;0,4;3,54
ES0105639001;MLUAV.PA;Technology;Computer Hardware;https://www.embention.com/;Embention Sistemas Inteligentes, S.A.;21,6;0;0;0;0;0
IT0005562183;EAV.MI;Consumer Cyclical;Resorts & Casinos;https://www.emmavillas.com/;Emma Villas S.p.A.;2,27;0;0;0;0;0
FR0013356755;ALEMV.PA;Consumer Cyclical;Specialty Retail;https://www.emova-group.com/;Emova Group SA;0,875;7,87;0,11;0,13;0,41;0
ES0130960018;ENG.MC;Utilities;Utilities - Regulated Gas;https://www.enagas.es/es/;Enagás, S.A.;12,17;28,92;0,42;0,47;0,33;0,79
IT0005176406;ENAV.MI;Industrials;Airports & Air Services;https://www.enav.it/;ENAV S.p.A.;4,172;3,43;1,22;1,56;0,58;0
FR0004030708;ALDUB.PA;Basic Materials;Specialty Chemicals;https://www.encresdubuit.com/;Encres Dubuit;2,8;7,35;0,38;0,45;0,81;2,2
ES0130670112;ELE.MC;Utilities;Utilities - Regulated Electric;https://www.endesa.com/;Endesa, S.A.;20,64;0;0;0;0,2;0,39
NO0012555459;ENDUR.OL;Industrials;Conglomerates;https://endur.no/;Endúr ASA;69;54,29;1,27;0,9;0,4;0
IT0003128367;ENEL.MI;Utilities;Utilities - Diversified;https://www.enel.com/;Enel SpA;6,943;0;0;0;0,19;0,83
FR0013330792;ALNN6.PA;Technology;Communication Equipment;https://www.enensys.com/;ENENSYS Technologies SA;0,76;2,23;0,34;0,21;0,04;0
NO0012697715;ENERG.OL;Technology;Solar;https://www.energeia.no/;Energeia AS;0,595;1,54;0,39;0,45;0,49;0
FR0013399359;ALNRG.PA;Technology;Software - Application;https://energisme.com/;SA Energisme;0,0056;0;0;0;0;0
IT0005500712;ENY.MI;Industrials;Electrical Equipment & Parts;https://www.energysynt.com/;Energy S.p.A.;0,82;1,77;0,46;0,36;0,65;0
IT0004356751;ENV.MI;Consumer Defensive;Packaged Foods;https://www.enervit.com/;Enervit S.p.A.;3,29;3,1;1,06;0,79;0,47;0,63
FR0010208488;ENGI.PA;Utilities;Utilities - Diversified;https://www.engie.com/;Engie SA;15,225;0;0;0;0,15;0,39
IT0003132476;ENI.MI;Energy;Oil & Gas Integrated;https://www.eni.com/;Eni S.p.A.;13,296;0;0;0;0,37;0,49
FR0014004974;FR0014004974.SG;;;https://twitter.com/YahooFinance;;1,7;0;0;0;0;0
NO0013186460;ENSU.OL;Technology;Electronic Components;https://www.ensurge.com/;Ensurge Micropower ASA;0,915;0,02;45,75;30,5;0,16;0
FR0014004362;ALESE.PA;Utilities;Utilities - Renewable;https://entech-se.com/;Entech SA;6,24;3,78;1,65;1,05;0,53;0
NO0010716418;NO0010716418.SG;;;https://twitter.com/YahooFinance;;9,7;0;0;0;0;0
FR0010424697;FR0010424697.SG;;;https://twitter.com/YahooFinance;;0,39;0;0;0;0;0
FR0000045122;ALENR.PA;Communication Services;Publishing;https://www.entreprendre.fr/;Entreprendre S.A.;5,2;0;0;0;0,38;0
NL0015000GX8;ENVI.AS;Industrials;Pollution & Treatment Controls;https://www.envipco.com/;Envipco Holding N.V.;5,35;1,91;2,8;2,08;0,52;0
FR0010465534;ALEO2.PA;Basic Materials;Lumber & Wood Production;https://www.eo2.fr/;Eo2 Société Anonyme;3,56;0;0;0;0;0
IT0005519837;EPRB.MI;Industrials;Consulting Services;https://eprcomunicazione.it/;Eprcomunicazione S.p.A.;1,31;1,94;0,68;0,34;0,39;0
FR0012882389;EQS.PA;Healthcare;Health Information Services;https://equasens.com/;Equasens Société anonyme;42;17,55;2,39;2,06;0,58;0,03
NO0010096985;EQNR.OL;Energy;Oil & Gas Integrated;https://www.equinor.com/;Equinor ASA;257,55;0;0;0;0,33;0,01
IT0005312027;EQUI.MI;Financial Services;Capital Markets;https://www.equita.eu/;Equita Group S.p.A.;4,05;6,82;0,59;0,43;0,27;1,95
NO0010708605;EQVA.OL;Utilities;Utilities - Renewable;https://www.eqva.no/;Eqva ASA;4,77;6,31;0,76;0,46;0,41;0
FR0000131757;ERA.PA;Basic Materials;Other Industrial Metals & Mining;https://www.eramet.com/en;ERAMET S.A.;52,95;222,09;0,24;0,18;0,26;0,04
IT0001157020;ERG.MI;Utilities;Utilities - Renewable;https://www.erg.eu/;ERG S.p.A.;20,04;30,34;0,66;0,62;0,35;0,17
SE0000108656;ERIC-B.ST;Technology;Communication Equipment;https://www.ericsson.com/;Telefonaktiebolaget LM Ericsson (publ);90,82;0;0;0;0,31;0,03
IT0005521247;RDUE.MI;;;;;7,65;0;0;0;0;0
FR0013240934;ALERS.PA;Healthcare;Medical Devices;https://www.eurobio-scientific.com/;Eurobio Scientific Société anonyme;25,4;16,27;1,56;0,89;0,55;0
GB00B94QM994;ECT.AS;Financial Services;Asset Management;https://www.eurocastleinv.com/;Eurocastle Investment Limited;7,4;22,21;0,33;15,74;1,01;1,45
NL0015000K93;ECMPA.AS;Real Estate;REIT - Retail;https://www.eurocommercialproperties.com/;Eurocommercial Properties N.V.;22,6;72,28;0,31;0,62;0,52;0
FR0013256518;ALECR.PA;Healthcare;Diagnostics & Research;https://www.eurofins.fr/cerep/;Eurofins-Cerep SA;20000;0;0;0;0,92;0
FR0014000MR3;ERF.PA;Healthcare;Diagnostics & Research;https://www.eurofins.com/;Eurofins Scientific SE;47,97;32,44;1,48;1,01;0,5;0,01
IT0005527616;EGLA.MI;Industrials;Specialty Industrial Machinery;https://www.euro-group.it/;EuroGroup Laminations S.p.A.;2,94;13;0,23;0,17;0,36;0
FR0010157115;MLERO.PA;Financial Services;Capital Markets;https://www.elcorp.com/;Euroland Corporate Société anonyme;2,76;0;0;0;0;2,24
BE0003816338;CMBT.BR;Energy;Oil & Gas Midstream;https://www.cmb.tech/;Cmb.Tech NV;8,915;18,58;0,48;0,57;0,3;0,54
NL0006294274;ENX.PA;Financial Services;Financial Data & Stock Exchanges;https://www.euronext.com/;Euronext N.V.;107,7;1841,38;0,06;0,03;0,02;0,02
FR0010490920;ALECP.PA;Communication Services;Entertainment;https://www.europacorp.com/;EuropaCorp;0,335;1,11;0,3;0,23;0,02;0
NO0010735343;EPR.OL;Consumer Defensive;Discount Stores;https://www.europris.no/;Europris ASA;73,6;48,7;1,51;1,06;0,33;0,06
IT0003895668;ETH.MI;Technology;Computer Hardware;https://www.eurotech.com/;Eurotech S.p.A.;0,821;1,52;0,54;0,31;0,64;0
FR0010221234;ETL.PA;Technology;Communication Equipment;https://www.eutelsat.com/;Eutelsat Communications Société Anonyme;3,008;14,2;0,21;0,24;0,48;3,77
DK0061414711;EFUEL.OL;Basic Materials;Specialty Chemicals;https://www.everfuel.com/;Everfuel A/S;12,92;1,14;11,33;15,76;0,51;0
FR0000035784;FR0000035784.SG;;;https://twitter.com/YahooFinance;;0,952;0;0;0;0;0
IT0005430936;EVISO.MI;Utilities;Utilities - Regulated Electric;https://www.eviso.ai/;eVISO S.p.A.;6,4;3;2,13;1,3;0,25;0
DE000EVNK013;EVK.DE;Basic Materials;Specialty Chemicals;https://corporate.evonik.com/;Evonik Industries AG;17,45;30,35;0,57;0,5;0,46;0,3
DE0005664809;EVT.DE;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.evotec.com/;Evotec SE;8,275;9,55;0,87;0,85;0,49;0
BE0003820371;EVS.BR;Technology;Communication Equipment;https://www.evs.com/;EVS Broadcast Equipment SA;30,55;17,18;1,78;1,82;0,87;0,14
FR0000064164;ALEXA.PA;Industrials;Business Equipment & Supplies;https://www.exacomptaclairefontaine.fr/;Exacompta Clairefontaine S.A.;140;790,32;0,18;0,15;0,55;0,02
NO0010852213;EXTX.OL;Healthcare;Biotechnology;https://exact-tx.com/;EXACT Therapeutics AS;3,6;0,97;3,71;3,16;0,74;0
FR0000062671;EXA.PA;Industrials;Aerospace & Defense;https://www.exail-technologies.com/;Exail Technologies;16,74;57,18;0,29;0,29;0,16;0,16
FR0014005DA7;EXN.PA;Technology;Software - Infrastructure;https://www.exclusive-networks.com/;Exclusive Networks SA;18,86;31,61;0,6;0,38;0,29;0
IT0005557530;EXEC.MI;Consumer Defensive;Education & Training Services;https://www.execus.com/;Execus S.p.A.;1,39;0,56;2,48;1,45;0,51;0
FR0004527638;EXE.PA;Industrials;Farm & Heavy Construction Machinery;https://www.exel-industries.com/;EXEL Industries SA;42;116,36;0,36;0,28;0,54;0,04
BE0003808251;EXM.BR;Energy;Oil & Gas Midstream;https://www.exmar.com/;Exmar NV;11,38;16,1;0,71;0,87;0,64;0,5
NL0012059018;EXO.AS;Industrials;Farm & Heavy Construction Machinery;https://www.exor.com/;Exor N.V.;93,75;397,19;0,24;0,17;0,27;0
IT0004496029;EXAI.MI;Technology;Software - Application;https://www.expert.ai/;Expert.ai S.p.A.;1,368;0,84;1,63;1,82;0,52;0
FR0014003AQ4;EXPL.PA;Basic Materials;Specialty Chemicals;https://www.epc-groupe.com/;EPC Groupe;188;204,72;0,92;0,73;0,33;0,01
ES0105029005;FACE.MC;Technology;Software - Application;https://www.facephi.com/;Facephi Biometria, S.A.;1,64;1,51;1,09;0,76;0,36;0
IT0005500688;FAE.MI;Technology;Electronic Components;https://www.fae.technology/;FAE Technology S.p.A.;2,94;2,54;1,16;0,72;0,33;0
BE0003874915;FAGR.BR;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.fagron.com/;Fagron NV;18,44;7,72;2,39;1,53;0,53;0,06
IT0005487670;COSMO.MI;Healthcare;Pharmaceutical Retailers;https://www.farmacosmo.it/;Farmacosmo S.p.A.;0,668;0,76;0,88;0,53;0,41;0
PTFNV1AM0002;MLFMV.LS;Industrials;Conglomerates;https://www.farminveste-sgps.com/;Farminveste, S.G.P.S., S.A.;1,26;215,68;0,01;0;0,22;0
NL0013654809;FAST.AS;Consumer Cyclical;Specialty Retail;https://fastnedcharging.com/;Fastned B.V.;22,1;16,93;1,31;1,33;0,47;0
FR0000031973;FAYE.PA;Consumer Defensive;Household & Personal Products;https://fsdv.fr/;Fayenceries de Sarreguemines, Digoin & Vitry-le-Francois Société Anonyme;17,6;0;0;0;0;0
IE0003290289;EG7.IR;Financial Services;Insurance - Property & Casualty;https://www.fbdgroup.com/;FBD Holdings plc;13;0;0;0;0;0,32
FR0012300424;MLFDV.PA;Consumer Defensive;Packaged Foods;https://www.franckdeville.fr/;FD SA;0,41;0;0;0;0;0
GB0031477770;FDP.L;Technology;Information Technology Services;https://fdtechnologies.com/;FD Technologies plc;1912;5,9;324,07;195,1;0,51;0
FR0013451333;FDJ.PA;Consumer Cyclical;Gambling;https://www.groupefdj.com/;La Française des Jeux Société anonyme;38,04;14,81;2,57;1,6;0,3;0
FR0000062101;FCMC.PA;Consumer Cyclical;Resorts & Casinos;https://www.groupesfcmc.com/;Société Fermière du Casino Municipal de Cannes;1480;0;0;0;0,6;0
FR0011271600;FR0011271600.SG;;;https://twitter.com/YahooFinance;;0,335;0;0;0;0;0
NL0011585146;RACE.MI;Consumer Cyclical;Auto Manufacturers;https://www.ferrari.com/;Ferrari N.V.;431,5;37,37;11,55;7,53;0,45;0
IT0005383291;9638.HK;Consumer Cyclical;Recreational Vehicles;https://www.ferrettigroup.com/;Ferretti S.p.A.;23,2;3,92;5,92;4,64;0,59;0
NL0015001FS8;FER.MC;Industrials;Infrastructure Operations;https://www.ferrovial.com/;Ferrovial SE;40,62;36,35;1,12;0,99;0,16;0,06
IT0005325912;FVI.MI;Industrials;Tools & Accessories;https://www.fervi.com/;Fervi S.p.A.;15;21,35;0,7;0,51;0,52;0,15
IT0001498481;FDA.MI;Industrials;Specialty Industrial Machinery;https://www.fidia.it/;Fidia S.p.A.;0,0574;0,9;0,06;0,04;0,1;0
FR0000061418;SACI.PA;Industrials;Business Equipment & Supplies;https://www.fiducial-office-solutions.fr/;Fiducial Office Solutions;28;0;0;0;0;0
IT0005252736;FIC.MI;Financial Services;Capital Markets;https://www.firstcapital.it/;First Capital S.p.A.;15,8;39,1;0,4;0,83;0,69;0,11
NL0015000X07;BNJ.AS;Communication Services;Entertainment;https://www.fl-entertainment.com/;BANIJAY GROUP N.V.;8,55;21,53;0,4;0,43;0;0
FR0000074759;FR0000074759.SG;;;https://twitter.com/YahooFinance;;26,2;0;0;0;0;0
PTFXD0AM0018;FLEXD.LS;Financial Services;Asset Management;https://www.flexdeal.pt/;Flexdeal Simfe S.A.;4,9;6,16;0,8;3,66;0,91;0
FR001400GO75;ALFLO.PA;Basic Materials;Agricultural Inputs;https://www.florentaise.com/;SAS Florentaise;2,24;10,71;0,21;0,15;0,32;0
BE0003215143;FLOB.BR;Industrials;Conglomerates;https://www.floridienne.be/;Floridienne S.A.;660;0;0;0;0,34;0
BE0003847648;FLSP.BR;Consumer Defensive;Education & Training Services;https://www.flowsparks.com/;Flowsparks NV;21;0;0;0;0;0
BE0974265945;FLUX.BR;Energy;Oil & Gas Midstream;https://www.fluxys.com/belgium;Fluxys Belgium SA;14,65;283,76;0,05;0,04;0,18;0,36
