Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende
FR0013204070;Consumer Cyclical;Auto & Truck Dealerships;https://www.groupe-parot.com/;Groupe Parot SA;8,7;30,7;0,28;-2,76;0,21;0
IT0005221517;Healthcare;Health Information Services;https://www.gpi.it/;GPI S.p.A.;13,14;16,81;0,78;-1,72;0,29;0
FR0000065971;Basic Materials;Agricultural Inputs;https://www.graines-voltz.com/;Graines Voltz;28,5;88,41;0,32;1,42;0,5;2,88
NO0011109563;Industrials;Marine Shipping;https://gramcar.com/;Gram Car Carriers ASA;257,5;20,79;12,39;-29,1;0,52;0
IE00B1FR8863;Basic Materials;Other Industrial Metals & Mining;https://www.greatwesternmining.com/;Great Western Mining Corporation PLC;0,0395;0;0;0;0,94;0
NO0010907744;Basic Materials;Other Industrial Metals & Mining;https://greenminerals.no/;Green Minerals AS;7,18;0,9;7,98;8,86;12,08;0
IT0005549768;Basic Materials;Chemicals;https://www.greenoleo.com/;Green Oleo S.p.A.;0,935;0;0;0;0;0
IE00BF2NR112;;;;;0,881;0;0;0;0;0
IT0001042297;Industrials;Waste Management;https://greenthesis.greenthesisgroup.com/;Greenthesis S.p.A.;2,22;1,95;1,14;-1,59;0,09;0
PTGNV0AM0001;;;;;8,24;0;0;0;0;0
BE0003765790;Consumer Defensive;Food Distribution;https://www.greenyard.group/;Greenyard NV;5,4;26,86;0,2;-0,36;0,25;0
NO0010365521;Consumer Defensive;Farm Products;https://griegseafood.com/;Grieg Seafood ASA;76,8;101,96;0,75;-9,08;0,5;2,68
IT0005332595;Consumer Cyclical;Packaging & Containers;https://www.grifal.it/;Grifal S.p.A.;2,28;4,53;0,5;-1,57;0,34;0
ES0171996087;Healthcare;Drug Manufacturers - General;https://www.grifols.com/;Grifols, S.A.;9,886;27,97;0,35;-0,59;0,28;1,48
FR0014005ZM5;Industrials;Metal Fabrication;https://www.grolleau.fr/;Grolleau Société Anonyme;6,96;12,72;0,55;7,48;0,44;0
NO0010636491;Financial Services;Banks - Regional;https://www.grong-sparebank.no/;Grong Sparebank;141;2553,39;0,06;-0,06;0,13;5,69
FR00140069V2;Basic Materials;Specialty Chemicals;https://www.groupeberkem.com/;Groupe Berkem Société anonyme;2,18;4,07;0,54;-1,74;0,34;0
FR0000076960;Financial Services;Banks - Regional;https://www.carnivor.fr/;Groupe Carnivor Société Anonyme;23;0;0;0;0;0
FR0000036675;Industrials;Staffing & Employment Services;https://www.groupe-crit.com/;Groupe CRIT SA;73,6;117,93;0,62;2,23;0,79;2,14
FR0012819381;Consumer Cyclical;Packaging & Containers;https://www.groupeguillin.fr/;Groupe Guillin S.A.;29,7;40,17;0,74;4,63;0,73;3,04
FR0004010338;Consumer Cyclical;Apparel Manufacturing;https://www.jaj.fr/;Groupe JAJ;1,3;7,38;0,18;0,91;0,23;0
FR0000075442;Technology;Electronics & Computer Distribution;https://www.groupe-ldlc.com/;Groupe LDLC société anonyme;17,74;35,59;0,5;354,8;0,43;1,99
FR0013439627;Utilities;Utilities - Renewable;https://www.okwind.fr/;Groupe OKwind Société anonyme;19,6;7,77;2,52;9,7;0,57;0
FR0012612646;Consumer Cyclical;Resorts & Casinos;https://www.groupepartouche.com/;Groupe Partouche SA;21;62,14;0,34;-0,82;0,53;0
FR0010529719;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
FR0004155000;Industrials;Specialty Industrial Machinery;https://www.sfpi-group.com/;GROUPE SFPI SA;2;6,08;0,33;5,56;0,49;0
FR0013429404;Technology;Scientific & Technical Instruments;https://groupe-tera.com/;Groupe Tera SA;3,92;3,64;1,08;-2,95;0,12;0
FR0014000RP6;Real Estate;Real Estate Services;https://www.groupimo.fr/;Groupimo S.A.;0,2;2,65;0,08;0,67;0,62;0
IT0005040354;Technology;Software - Application;https://www.growens.io/en;Growens S.p.A.;7;5,38;1,3;2,68;1,35;0
FR0011726835;Energy;Oil & Gas Equipment & Services;https://www.gtt.fr/;Gaztransport & Technigaz SA;136,6;15,64;8,73;21,18;0,96;3,92
LU1840650458;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
FR0000032526;Healthcare;Medical Devices;https://www.guerbet.com/;Guerbet SA;37,1;73,72;0,5;-7,15;0,41;2,71
FR0000066722;Technology;Computer Hardware;https://www.guillemot.com/;Guillemot Corporation S.A.;6,72;9,34;0,72;1,58;0,8;0
IT0005411209;Industrials;Pollution & Treatment Controls;https://www.gvs.com/;GVS S.p.A.;6,77;5,77;1,17;-3,89;0,41;0
NO0004288200;Communication Services;Publishing;https://www.gyldendalasa.no/;Gyldendal ASA;480;812,73;0,59;-3,04;0,45;1,6
IT0004674666;Financial Services;Asset Management;https://www.h-farm.com/en;H-FARM S.p.A.;0,158;0,22;0,72;0;0,41;0
FR0014007ND6;Utilities;Utilities - Renewable;https://www.haffner-energy.com/;Haffner Energy S.A.;0,673;0,91;0,74;1,4;1,13;0
GB00BMDXQ672;Financial Services;Asset Management;https://hamiltongo.eu/;Hamilton Global Opportunities PLC;43,2;0;0;0;1,04;0
GB00BK7YQK64;Real Estate;REIT - Retail;https://www.hammerson.com/;Hammerson Plc;29;0,87;33,33;-111,54;0,64;7,94
DE000HLAG475;Industrials;Marine Shipping;https://www.hapag-lloyd.com/;Hapag-Lloyd Aktiengesellschaft;160,1;144,12;1,11;-2287,14;0,87;11,87
FR0000066755;Industrials;Farm & Heavy Construction Machinery;https://www.haulotte.com/;Haulotte Group SA;2,74;20,46;0,13;-4,42;0,31;2,83
NO0010931918;Industrials;Marine Shipping;https://www.havgroup.no/;HAV Group ASA;10,75;10,7;1;-34,68;0,31;0
NO0011045429;;;;;0,067;0;0;0;0;0
NO0010257728;Industrials;Marine Shipping;https://www.havilashipping.no/;Havila Shipping ASA;6,1;60,57;0,1;-0,13;0,01;0
FR0014003VY4;;;;;6,86;0;0;0;0;0
IT0005585861;Healthcare;Healthcare Plans;https://www.healthitalia.it/;Health Italia S.p.A.;125,5;0;0;0;0,54;0
ES0105498002;;;https://finance.yahoo.com/sector/healthcare;;0;0;0;0;0;0
DE0006047004;Basic Materials;Building Materials;https://www.heidelbergmaterials.de/;Heidelberg Materials AG;98;147,12;0,67;-2,16;0,53;3,25
NL0009269109;Industrials;Engineering & Construction;https://www.heijmans.nl/;Koninklijke Heijmans N.V.;18,72;43,22;0,43;-3,27;0,3;14,61
NL0000009165;Consumer Defensive;Beverages - Brewers;https://www.theheinekencompany.com/;Heineken N.V.;96,52;59,23;1,63;-2,59;0,38;1,58
NL0000008977;Consumer Defensive;Beverages - Brewers;https://www.heinekenholding.com/;Heineken Holding N.V.;78,95;116,58;0,68;-1,07;0,19;1,85
DE000A161408;Consumer Cyclical;Restaurants;https://www.hellofreshgroup.com/;HelloFresh SE;5,666;12,62;0,45;-1,15;0,43;0
DE0006048408;Consumer Defensive;Household & Personal Products;https://www.henkel.com/;Henkel AG & Co. KGaA;74,65;57,45;1,3;-7,82;0,68;1,77
DE0006048432;Consumer Defensive;Household & Personal Products;https://www.henkel.com/;Henkel AG & Co. KGaA;83,98;90,5;0,93;-5,59;0,68;1,6
DE000HAG0005;;;;;38,98;0;0;0;0;0
IT0001250932;Utilities;Utilities - Diversified;https://www.gruppohera.it/;Hera S.p.A.;3,47;6,33;0,55;-1,09;0,26;3,56
FR0000066540;Basic Materials;Building Materials;https://www.groupe-herige.fr/;Herige;32,1;149,45;0,21;-1,29;0,31;5,16
FR0000052292;Consumer Cyclical;Luxury Goods;https://finance.hermes.com/;Hermès International Société en commandite par actions;2295;192,39;11,93;27,42;1,55;0,58
NO0003067902;Consumer Cyclical;Packaging & Containers;https://www.hexagongroup.com/;Hexagon Composites ASA;22,9;25,15;0,91;-2,82;0,47;0
