ISIN;nom;ticker
DE0006219934f;Jungheinrich AG;JUN3
DE0006223407f;ProCredit Holding AG & Co KGaA;PCZ
DE0006223605f;Intertainment AG;ITN
DE0006229107f;Jenoptik AG;JEN
DE0006231004f;Infineon Technologies AG;IFX
DE0006286560f;OVB Holding AG;O4B
DE0006289309f;iShares EURO STOXX Banks 30-15 UCITS ETF (DE);EXX1
DE0006292006f;KSB AG;KSB
DE0006292030f;KSB AG;KSB3
DE0006305006f;Deutz AG;DEZ
DE0006335003f;Krones AG;KRN
DE0006450000f;LPKF Laser & Electr;LPK
DE0006452907f;Nemetschek AG;NEM
DE0006464506f;Leifheit AG;LEI
DE0006569403f;ALBIS Leasing AG;ALG
DE0006569908f;MLP AG;MLP
DE0006577109f;NanoRepro AG;NN6
DE0006578008f;KHD Humboldt Wedag International AG;KWG
DE0006580806f;Mensch und Maschine Software SE;MUM
DE0006595101f;MEDICLIN Aktiengesellschaft;MED
DE0006599905f;Merck KGaA;MRK
DE0006602006f;GEA Group AG;G1A
DE0006627201f;Muehlbauer Holding AG;MUB
DE0006766504f;Aurubis AG;NDA
DE0006916604f;Pfeiffer Vacuum Tec;PFV
DE0006942808f;Scherzer & Co. AG;PZS
DE0006968001f;Progress-Werk Oberk;PWO
DE0006969603f;Puma SE;PUM
DE0007008906f;RealTech AG;RTC
DE0007010803f;Rational AG;RAA
DE0007030009f;Rheinmetall AG;RHM
DE0007037129f;RWE;RWE
DE0007042301f;Rhoen Klinikum AG;RHK
DE0007074007f;KWS Saat AG;KWS
DE0007100000f;Mercedes-Benz Groug AG;MBG
DE0007164600f;SAP AG;SAP
DE0007165607f;Sartorius AG;SRT
DE0007165631f;Sartorius AG;SRT3
DE0007193500f;Koenig & Bauer AG;SKB
DE0007201907f;First Sensor AG;SIS
DE0007203705f;SNP Schneider-Neureither & Partner AG;SHF
DE0007229007f;Schloss Wachenheim ;SWA
DE0007231326f;Sixt AG;SIX2
DE0007231334f;Sixt AG VZO O.N.;SIX3
DE0007235301f;SGL Carbon SE;SGL
DE0007236101f;Siemens AG;SIE
DE0007257503f;Ceconomy;CEC
DE0007274136f;STO SE & Co KGaA;STO3
DE0007276503f;Secunet Security Networks AG;YSN
DE0007297004f;Suedzucker AG;SZU
DE0007314007f;Heidelberger Druckm;HDD
DE0007446007f;Takkt AG;TTK
DE0007448508f;IVU Traffic Technol;IVU
DE0007461006f;PVA TePla AG;TPE
DE0007480204f;Deutsche Euroshop A;DEQ
DE0007493991f;Stroer Out-of-Home ;SAX
DE0007500001f;ThyssenKrupp AG;TKA
DE0007501009f;TTL Beteiligungs- und Grundbesitz-AG;TTO
