ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %
FR0013452281;ALAGP.PA;Utilities;Utilities - Renewable;https://www.agripower-france.com/;Agripower France Société Anonyme;1.13;1.83;0.62;1.02;1.02;0.88;0.0
LU0569974404;APAM.AS;Basic Materials;Steel;https://www.aperam.com/;Aperam S.A.;28.5;40.51;0.7;5.31;5.31;0.73;0.22
FR001400CFI7;AVT.PA;Technology;Communication Equipment;https://corporate.avenir-telecom.com/;Avenir Telecom S.A.;0.0679;0.19;0.36;0.36;0.36;0.43;0.0
FR0000120966;BB.PA;Consumer Defensive;Household & Personal Products;https://fr.bic.com/fr;Société BIC SA;64.0;35.56;1.8;1.8;1.8;0.7;0.07
FR0013331212;ALDNE.PA;Communication Services;Electronic Gaming & Multimedia;https://dontnod-bourse.com/;Don't Nod Entertainment S.A.;1.205;4.38;0.28;0.28;0.28;0.89;0.0
ALDUB.PA;ALDUB.PA;Basic Materials;Specialty Chemicals;https://www.encresdubuit.com/;Encres Dubuit;2.58;5.82;0.44;0.44;0.44;0.81;2.38
BE0003818359;GLPG.AS;Healthcare;Biotechnology;https://www.glpg.com/;Galapagos NV;23.78;39.75;0.6;0.7;0.7;3.43;0.0
FR0000075442;ALLDL.PA;Technology;Electronics & Computer Distribution;https://www.groupe-ldlc.com/;Groupe LDLC société anonyme;8.96;6.36;1.41;1.41;1.41;0.39;0.22
FR0000038531;ALHF.PA;Technology;Communication Equipment;https://www.hfcompany.com/;HF Company SA;4.75;7.93;0.6;0.65;0.65;4.63;1.29
FR0000033904;JCQ.PA;Basic Materials;Steel;https://www.jacquetmetals.com/;Jacquet Metals SA;17.94;28.67;0.63;2.02;2.02;0.47;0.21
ALEMG.PA;ALEMG.PA;Healthcare;Medical Devices;https://www.laboratoires-euromedis.fr/;Laboratoires Euromedis Société anonyme;4.34;11.25;0.39;0.46;0.39;1.05;0.24
FR0000053225;MMT.PA;Communication Services;Broadcasting;https://www.groupem6.fr/;Métropole Télévision S.A.;12.6;5.39;2.34;3.74;2.82;0.81;0.43
FR0010397232;ALNOV.PA;Healthcare;Medical Devices;https://www.novacyt.com/;Novacyt S.A.;0.608;0.79;0.77;1.09;0.74;0.97;0.0
FR0000061608;ALPDX.PA;Consumer Cyclical;Leisure;https://www.desjoyaux.com/;Piscines Desjoyaux SA;15.05;12.99;1.16;3.03;1.68;1.08;0.27
ALGIR.PA;ALGIR.PA;;;;;0;0;0;0;0;0;0
FR0010397901;ALTRI.PA;Industrials;Business Equipment & Supplies;https://www.trilogiq.com/;Trilogiq S.A.;6.6;10.76;0.61;0.78;0.58;1.97;0.0
FR0000031775;VCT.PA;Basic Materials;Building Materials;https://www.vicat.fr/;Vicat S.A.;44.4;30.87;1.44;-1.06;-26.75;0.47;0.12
EAPI.PA;EAPI.PA;;;;;0;0;0;0;0;0;0
FR001400N2P2;ALSPW.PA;Healthcare;Medical Instruments & Supplies;https://www.spineway.com/;Spineway SA;0.117;0.49;0.24;0.78;0.73;0.78;0.0
