ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
DE0005176903;SUR.DE;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.surteco.com/;Surteco Group SE;11.95;5.54;2.16;-0.66;-1.4;0.44;0.27;-7.05
DE0005178008;SYT.DE;Technology;Information Technology Services;https://company.softing.com/de;Softing AG;2.82;0.98;2.88;-31.33;4.09;0.53;0.6;2.04
DE0005181606;WFA.F;Consumer Cyclical;Specialty Retail;https://www.wengfineart.com/;Weng Fine Art AG;5.55;0;0;0;0;0.39;0.0;0
DE0005190003;BMW.F;Consumer Cyclical;Auto Manufacturers;https://www.bmwgroup.com/;Bayerische Motoren Werke Aktiengesellschaft;88.9;115.86;0.77;-0.7;-0.94;0.38;0.07;101.95
DE0005190037;BMW3.DE;Consumer Cyclical;Auto Manufacturers;https://www.bmwgroup.com/;Bayerische Motoren Werke Aktiengesellschaft;88.7;115.86;0.77;-0.7;-0.93;0.38;0.07;101.95
DE0005194005;BYW.DE;Industrials;Conglomerates;https://www.baywa.com/;BayWa Aktiengesellschaft;17.75;-22.77;-0.78;-0.12;-0.12;-0.07;0.14;-26.23
DE0005194062;BYW6.DE;Industrials;Conglomerates;https://www.baywa.com/;BayWa Aktiengesellschaft;4.33;-14.5;-0.3;-0.03;-0.04;-0.03;0.71;-26.23
DE0005199905;ECK.DE;Consumer Cyclical;Department Stores;https://www.ludwigbeck.de/;LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG;12.6;15.37;0.82;-0.56;-0.56;0.36;0.18;13.56
DE0005200000;BEI.DE;Consumer Defensive;Household & Personal Products;https://www.beiersdorf.com/;Beiersdorf Aktiengesellschaft;98.38;33.99;2.89;11.53;6.49;0.81;0.01;27.59
DE0005201602;BEZ.F;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.berentzen-gruppe.de/;Berentzen-Gruppe Aktiengesellschaft;3.57;4.0;0.89;-3.57;1.27;0.37;0.83;-1.33
DE0005202303;QB7.DE;Financial Services;Banks - Regional;https://www.quirinprivatbank.de/;Quirin Privatbank AG;3.88;1.91;2.03;2.0;2.0;0.06;0.0;0.0
DE0005203947;BNN.F;Basic Materials;Specialty Chemicals;https://www.brain-biotech.com/;BRAIN Biotech AG;2.42;-0.07;-34.57;-1.74;-3.32;0.21;0.0;-3.23
DE0005209589;A6T.F;Technology;Consumer Electronics;https://www.artec.de/;artec technologies AG;2.35;0.38;6.18;10.22;10.22;0.83;0.0;0.76
DE0005218309;MBQ.DE;Industrials;Security & Protection Services;https://www.mobotix.com/;Mobotix AG;0.6;-0.48;-1.25;-0.3;-0.3;0.17;6.07;-2.63
DE0005220008;EBK.DE;Utilities;Utilities - Diversified;https://www.enbw.com/;EnBW Energie Baden-Württemberg AG;69.0;25.5;2.71;-0.59;-0.68;0.18;0.02;-62.68
DE0005228779;OBS.DE;Technology;Information Technology Services;https://www.orbis.de/;ORBIS AG;5.7;1.47;3.88;-8.51;-8.51;0.48;0.42;4.56
DE0005229504;BIJ.F;Consumer Cyclical;Luxury Goods;https://www.group.bijou-brigitte.com/;Bijou Brigitte modische Accessoires Aktiengesellschaft;44.1;30.5;1.45;5.71;1.0;0.89;0.15;76.47
DE0005232805;BDT.F;Consumer Cyclical;Auto Parts;https://www.bertrandt.com/;Bertrandt Aktiengesellschaft;19.08;25.41;0.75;-5.45;-5.45;0.48;0.1;19.74
DE0005313506;EKT.DE;Utilities;Utilities - Renewable;https://www.energiekontor.de/;Energiekontor AG;36.4;13.37;2.72;-3.02;-3.02;0.3;0.04;3.14
DE0005313704;AFX.DE;Healthcare;Medical Instruments & Supplies;https://www.zeiss.com/meditec-ag/de/investor-relations.html?vaURL=www.zeiss.de/meditec-ag/ir;Carl Zeiss Meditec AG;39.44;5.53;7.13;-493.0;-493.0;0.63;0.03;6.57
DE0005403901;CWC.F;Consumer Cyclical;Personal Services;https://www.cewe.de/;CEWE Stiftung & Co. KGaA;105.0;46.88;2.24;25.3;3.57;0.75;0.02;56.6
DE0005407100;CSH.DE;Technology;Software - Application;https://www.cenit.com/;CENIT Aktiengesellschaft;7.46;-2.9;-2.57;-1.46;-2.5;0.3;0.7;-1.91
DE0005407407;CEK.F;Technology;Communication Equipment;https://ceotronics.com/;CeoTronics AG;13.85;3.03;4.57;7.1;7.1;0.75;0.0;3.47
DE0005408686;VVV3.DE;Financial Services;Financial Conglomerates;https://www.oekoworld.com/;Ökoworld AG;26.6;21.3;1.25;1.27;1.27;8.21;0.2;32.77
DE0005419105;COK.DE;Technology;Information Technology Services;https://www.cancom.de/;Cancom SE;28.6;7.28;3.93;-14.74;9.69;0.45;0.1;35.18
DE0005439004;CON.DE;Consumer Cyclical;Auto Parts;https://www.continental.com/;Continental Aktiengesellschaft;66.1;14.62;4.52;-3.11;-3.11;0.23;0.04;48.49
DE0005470306;EVD.DE;Communication Services;Entertainment;https://www.eventim.de/;CTS Eventim AG & Co. KGaA;77.2;0.19;406.32;-11.68;-15.76;0.45;0.02;34.53
DE0005470405;LXS.DE;Basic Materials;Specialty Chemicals;https://lanxess.com/;LANXESS Aktiengesellschaft;17.69;23.8;0.74;-0.91;-0.91;0.5;0.11;27.3
DE0005489561;ULC.DE;Consumer Cyclical;Leisure;https://www.unitedlabels.com/;UNITEDLABELS Aktiengesellschaft;1.24;-0.23;-5.39;-1.01;-1.01;0.1;0.0;0.86
DE0005492938;MZX.DE;Basic Materials;Specialty Chemicals;https://www.masterflexgroup.com/;Masterflex SE;13.75;5.19;2.65;9.89;9.89;0.77;0.13;7.21
DE0005493092;BVB.DE;Communication Services;Entertainment;https://aktie.bvb.de/;Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien;3.365;0.77;4.37;-2.29;-2.29;0.55;0.29;0.67
DE0005493365;HYQ.DE;Financial Services;Credit Services;https://www.hypoport.com/;Hypoport SE;126.4;2.2;57.45;-10.08;-10.08;0.61;0.0;14.46
DE0005495626;GME.DE;Healthcare;Medical Devices;https://www.geratherm.com/;Geratherm Medical AG;2.94;3.54;0.83;1.43;1.1;1.16;1.36;5.07
DE0005498901;DAM.F;Technology;Electronic Components;https://www.data-modul.com/;DATA MODUL Aktiengesellschaft Produktion und Vertrieb von elektronischen Systemen;28.8;41.26;0.7;1.0;1.0;0.8;0.01;1.89
DE0005533400;DGR.DE;Real Estate;Real Estate Services;https://www.dga-ag.de/;Deutsche Grundstücksauktionen AG;6.4;3.43;1.87;1.87;1.87;0.89;0.87;0.0
DE0005545503;1U1.DE;Communication Services;Telecom Services;https://www.1und1.ag/;1&1 AG;25.75;9.78;2.63;-23.62;-51.5;0.75;0.01;2.43
DE0005550602;DRW8.DE;Healthcare;Medical Devices;https://www.draeger.com/;Drägerwerk AG & Co. KGaA;69.0;63.56;1.09;1.09;1.09;0.5;0.02;51.66
DE0005550636;DRW3.DE;Healthcare;Medical Devices;https://www.draeger.com/;Drägerwerk AG & Co. KGaA;89.7;63.56;1.41;5.16;2.07;0.54;0.02;51.66
DE0005552004;DHL.DE;Industrials;Integrated Freight & Logistics;https://group.dhl.com/;Deutsche Post AG;47.82;7.73;6.19;6.19;6.19;0.35;0.09;53.21
DE0005557508;DTE.DE;Communication Services;Telecom Services;https://www.telekom.com/;Deutsche Telekom AG;27.05;-19.99;-1.35;-0.65;-0.65;0.21;0.12;31.76
DE0005558696;PGN.DE;Consumer Cyclical;Auto Parts;https://www.paragon.ag/;paragon GmbH & Co. KGaA;1.95;-10.03;-0.19;-0.13;-0.13;-0.11;0.5;27.02
DE0005565204;DUE.DE;Industrials;Specialty Industrial Machinery;https://www.durr-group.com/;Dürr Aktiengesellschaft;23.8;3.5;6.8;-2.66;-2.66;0.3;0.1;22.12
DE0005570808;UBK.DE;Financial Services;Banks - Regional;https://www.umweltbank.de/;UmweltBank AG;3.88;6.61;0.59;0.59;0.59;0.04;0.0;0.0
DE0005580005;DIE.DE;Consumer Cyclical;Textile Manufacturing;https://dierig.de/;Dierig Holding AG;8.2;12.07;0.68;-0.84;-0.84;0.48;0.0;1.84
DE0005649503;EDL.DE;Communication Services;Entertainment;https://www.edel.com/;Edel SE & Co. KGaA;5.1;2.02;2.52;-2.14;-2.14;0.28;1.05;0.41
DE0005659700;EUZ.DE;Healthcare;Medical Devices;https://www.ezag.com/;Eckert & Ziegler SE;16.38;2.78;5.89;163.8;14.37;0.69;0.05;2.75
DE0005664809;EVT.DE;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.evotec.com/;Evotec SE;6.31;3.62;1.74;-4.02;-57.36;0.63;0.0;-4.05
DE0005677108;ELG.DE;Technology;Semiconductors;https://www.elmos.com/;Elmos Semiconductor SE;109.4;28.91;3.78;9.43;7.36;0.8;0.01;16.31
DE0005754402;LSX.DE;Communication Services;Telecom Services;https://www.lstelcom.com/;LS telcom AG;3.86;-0.25;-15.44;-3.06;-3.06;0.47;0.39;0.26
DE0005759807;IXX.DE;Technology;Information Technology Services;https://www.initse.com/;init innovation in traffic systems SE;47.9;7.77;6.16;-532.22;7.06;0.46;0.04;3.37
DE0005760029;AB9.DE;Industrials;Engineering & Construction;https://www.aboenergy.com/;ABO Energy GmbH & Co. KGaA;6.96;22.97;0.3;0.34;0.34;0.37;0.0;-28.89
DE0005772206;FIE.DE;Healthcare;Medical Instruments & Supplies;https://www.fielmann-group.com/;Fielmann Group AG;41.25;1.95;21.15;-3.75;44.84;0.4;0.07;12.79
DE0005773303;FRA.DE;Industrials;Airports & Air Services;https://www.fraport.com/;Fraport AG;74.45;50.99;1.46;-0.6;-0.6;0.28;0.03;-75.87
DE0005774103;FEV.F;Technology;Electronics & Computer Distribution;https://www.fortecag.de/;FORTEC Elektronik AG;12.55;15.23;0.82;1.07;0.89;1.04;0.3;11.93
DE0005775803;FRS.DE;Financial Services;Credit Services;https://www.foris.com/;FORIS AG;3.32;3.87;0.86;0.86;0.86;0.88;1.11;1.61
DE0005785604;FRE.DE;Healthcare;Medical Care Facilities;https://www.fresenius.com/;Fresenius SE & Co. KGaA;49.83;3.61;13.8;-2.23;-5.21;0.47;0.02;28.24
DE0005785802;FME.DE;Healthcare;Medical Care Facilities;https://www.freseniusmedicalcare.com/;Fresenius Medical Care AG;37.47;-6.69;-5.6;-0.99;-1.5;0.45;0.08;58.52
DE0005790406;FUPEF;Basic Materials;Specialty Chemicals;https://www.fuchs.com/group;Fuchs SE;39.6;11.46;3.46;9.06;4.98;0.77;0.0;15.03
DE0005800601;GFT.DE;Technology;Information Technology Services;https://www.gft.com/;GFT Technologies SE;20.75;-0.29;-71.55;-6.92;-6.92;0.44;0.07;8.07
DE0005810055;DB1.DE;Financial Services;Financial Data & Stock Exchanges;https://deutsche-boerse.com/dbg-de/;Deutsche Börse AG;211.1;-10.19;-20.72;-3.35;-3.56;0.05;0.01;28.38
DE0005854343;E4C.DE;Communication Services;Telecom Services;https://www.ecotel.de/;ecotel communication ag;11.4;1.96;5.82;-3.79;18.39;0.47;0.18;47.67
DE0005855183;MSAG.DE;Consumer Cyclical;Auto Parts;https://www.ms-industrie.de/;MS Industrie AG;1.36;1.99;0.68;-0.96;-0.96;0.44;0.0;5.11
DE0005874846;IS7.DE;Consumer Cyclical;Auto Parts;https://www.intica-systems.com/;InTiCa Systems SE;2.3;2.45;0.94;-0.66;-0.66;0.29;0.0;-0.75
DE0005878003;GIL.DE;Industrials;Tools & Accessories;https://www.dmgmori.com/;DMG MORI AKTIENGESELLSCHAFT;47.4;15.12;3.13;6.51;6.51;0.62;0.05;9.83
DE0005895403;GMM.DE;Consumer Cyclical;Auto Parts;https://www.grammer.com/;Grammer AG;5.95;6.32;0.94;-0.13;-0.2;0.17;0.44;6.62
DE0005909006;GBF.DE;Industrials;Engineering & Construction;https://www.bilfinger.com/;Bilfinger SE;118.0;12.98;9.09;-44.87;26.11;0.44;0.03;73.29
DE0005932735;YOC.DE;Communication Services;Advertising Agencies;https://www.yoc.com/;YOC AG;10.75;0.61;17.62;-19.91;-134.38;0.42;0.0;3.09
DE0005936124;OHB.DE;Industrials;Aerospace & Defense;https://www.ohb.de/;OHB SE;140.5;12.72;11.05;-25.45;212.88;0.31;0.01;15.29
DE0006042708;HAW.DE;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.hawesko-holding.com/;Hawesko Holding SE;20.8;7.89;2.64;-1.7;-1.7;0.3;0.22;31.28
DE0006044001;MAK.F;Healthcare;Medical Care Facilities;https://www.maternus.de/;Maternus-Kliniken Aktiengesellschaft;1.02;-3.82;-0.27;-0.11;0.88;-0.5;0.0;3.57
DE0006047004;HEI.DE;Basic Materials;Building Materials;https://www.heidelbergmaterials.de/;Heidelberg Materials AG;233.2;52.54;4.44;-4.47;-4.47;0.55;0.01;83.93
DE0006048408;HEN.DE;Consumer Defensive;Household & Personal Products;https://www.henkel.com/;Henkel AG & Co. KGaA;68.0;6.61;10.29;-10.64;106.25;0.68;0.04;37.22
DE0006048432;HEN3.DE;Consumer Defensive;Household & Personal Products;https://www.henkel.com/;Henkel AG & Co. KGaA;72.52;6.13;11.83;-11.72;-11.72;0.68;0.04;37.22
DE0006061104;HMU.F;Energy;Thermal Coal;https://www.hms-ag.com/;HMS Bergbau AG;45.4;10.52;4.32;7.42;7.42;0.31;0.12;15.58
DE0006062144;1COV.DE;;;https://www.covestro.com/;Covestro AG;59.98;26.58;2.26;-7.98;-7.98;0.49;0.0;14.11
DE0006070006;HOT.DE;Industrials;Engineering & Construction;https://www.hochtief.com/;HOCHTIEF Aktiengesellschaft;373.0;-29.91;-12.47;-4.08;-4.57;0.06;0.01;66.1
DE0006083405;HBH.F;Consumer Cyclical;Home Improvement Retail;https://www.hornbach-holding.de/;HORNBACH Holding AG & Co. KGaA;81.1;126.56;0.64;-1.68;-1.68;0.49;0.03;107.82
DE0006200108;INH.F;Industrials;Conglomerates;https://indus.de/en/;INDUS Holding AG;31.0;4.99;6.21;-2.29;-15.05;0.42;0.13;30.0
DE0006201106;CEA.DE;Industrials;Electrical Equipment & Parts;https://www.friwo.com/;FRIWO AG;6.15;0.08;76.88;-7.5;9.61;0.06;0.24;-0.77
DE0006202005;SZG.F;Basic Materials;Steel;https://www.salzgitter-ag.com/de;Salzgitter AG;46.96;78.89;0.6;-4.62;-4.62;0.47;0.03;20.59
DE0006208408;IUR.DE;Industrials;Conglomerates;https://www.kap.de/;KAP AG;1.79;13.12;0.14;-0.45;-0.45;0.51;0.0;12.4
DE0006214687;MLL.DE;Industrials;Integrated Freight & Logistics;https://www.lila-logistik.com/de;Müller - Die lila Logistik SE;5.2;3.91;1.33;-0.37;1.0;0.22;1.08;25.88
DE0006219934;JUN3.F;Industrials;Specialty Industrial Machinery;https://www.jungheinrich.com/;Jungheinrich Aktiengesellschaft;37.0;17.59;2.1;-2.33;-7.84;0.38;0.06;15.45
DE0006223407;PCZ.DE;Financial Services;Banks - Diversified;https://www.procredit-holding.com/;ProCredit Holding AG;8.3;17.34;0.48;0.48;0.48;0.1;0.0;30.52
DE0006223605;ITN.DE;Communication Services;Entertainment;https://www.intertainment.de/;Intertainment AG;0.43;-0.69;-0.62;-0.62;-0.62;-77.17;0.0;-0.17
DE0006286560;O4B.DE;Financial Services;Capital Markets;https://www.ovb.eu/;OVB Holding AG;21.8;5.03;4.33;6.43;5.66;0.54;0.19;10.46
DE0006289309;EXX1.DE;;;https://twitter.com/YahooFinance;;26.33;0;0;0;0;0;0.0;0
DE0006450000;LPK.DE;Industrials;Specialty Industrial Machinery;https://www.lpkf.com/;LPKF Laser & Electronics SE;7.06;2.81;2.51;6.66;2.48;0.73;0.37;-0.86
DE0006569403;ALG.DE;Financial Services;Credit Services;https://www.albis-leasing.de/;ALBIS Leasing AG;3.0;1.14;2.63;-0.52;-0.52;0.16;0.46;1.53
DE0006569908;MLP.F;Financial Services;Asset Management;https://mlp-se.com/;MLP SE;7.37;3.19;2.31;-0.66;-0.73;0.19;0.64;6.76
DE0006577109;NN6.F;Healthcare;Diagnostics & Research;https://www.nanorepro.com/;NanoRepro AG;1.45;2.76;0.53;1.29;1.29;1.27;0.0;-2.67
DE0006578008;KWG.DE;Industrials;Industrial Distribution;https://www.khd.com/;KHD Humboldt Wedag International AG;1.87;2.09;0.89;2.92;1.89;0.66;0.0;2.0
DE0006580806;MUM.DE;Technology;Software - Application;https://www.mum.de/;Mensch und Maschine Software SE;42.75;1.32;32.39;-54.81;-54.81;0.58;0.06;19.0
DE0006595101;MED.DE;Healthcare;Medical Care Facilities;https://www.mediclin.de/;MEDICLIN Aktiengesellschaft;3.98;4.16;0.96;-0.49;0.62;0.28;0.0;11.76
DE0006599905;MRK.DE;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.emdgroup.com/;Merck KGaA;130.0;10.3;12.62;-6.89;-25.44;0.61;0.01;32.38
DE0006602006;G1A.F;Industrials;Specialty Industrial Machinery;https://www.gea.com/;GEA Group Aktiengesellschaft;61.4;2.62;23.44;-11.99;-11.99;0.44;0.04;24.1
DE0006627201;MUB.DE;Technology;Computer Hardware;https://www.muehlbauer.de/;Mühlbauer Holding AG;39.6;18.02;2.2;9.1;9.1;0.5;0.07;7.48
DE0006766504;NDA.DE;Industrials;Metal Fabrication;https://www.aurubis.com/;Aurubis AG;146.9;111.84;1.31;4.53;4.53;0.59;0.01;-12.55
DE0006916604;PFV.F;Industrials;Specialty Industrial Machinery;https://group.pfeiffer-vacuum.com/;Pfeiffer Vacuum Technology AG;162.0;46.27;3.5;14.27;14.27;0.65;0.01;6.5
DE0006942808;PZS.DE;Financial Services;Asset Management;https://www.scherzer-ag.de/;Scherzer & Co. AG;2.58;2.66;0.97;1.64;1.64;2.4;0.0;0.0
DE0006968001;PWO.F;Consumer Cyclical;Auto Parts;https://www.pwo-group.com/;PWO AG;28.6;48.35;0.59;-1.08;-1.08;0.39;0.16;49.97
DE0006969603;PUM.F;Consumer Cyclical;Footwear & Accessories;https://www.about.puma.com/;PUMA SE;22.11;14.21;1.56;-4.92;-4.92;0.31;0.01;16.66
DE0007008906;RTC.DE;Technology;Information Technology Services;https://www.realtech.com/;RealTech AG;1.01;1.23;0.82;0.9;0.9;4.03;10.48;-1.52
DE0007010803;RAA.DE;Industrials;Specialty Industrial Machinery;https://www.rational-online.com/;RATIONAL Aktiengesellschaft;661.0;73.69;8.97;13.31;10.08;1.4;0.0;112.11
DE0007030009;RHM.DE;Industrials;Aerospace & Defense;https://www.rheinmetall.com/;Rheinmetall AG;0;28.73;0.0;-0.0;-0.0;0.31;0;-15.64
DE0007037129;RWE.DE;Utilities;Utilities - Diversified;https://www.rwe.com/;RWE Aktiengesellschaft;51.5;28.81;1.79;-1.19;-1.19;0.36;0.05;-35.83
DE0007042301;RHK.DE;Healthcare;Medical Care Facilities;https://www.rhoen-klinikum-ag.com/;RHÖN-KLINIKUM Aktiengesellschaft;12.9;16.76;0.77;0.77;0.77;0.71;0.15;6.17
DE0007074007;KWS.F;Basic Materials;Agricultural Inputs;https://www.kws.com/;KWS SAAT SE & Co. KGaA;72.8;30.75;2.37;13.36;4.1;0.52;0.02;3.83
DE0007100000;MBG.DE;Consumer Cyclical;Auto Manufacturers;https://group.mercedes-benz.com/;Mercedes-Benz Group AG;58.82;73.78;0.8;-0.85;-0.93;0.4;0.11;111.7
DE0007164600;SAP.DE;Technology;Software - Application;https://www.sap.com/;SAP SE;202.15;9.78;20.67;-35.22;-35.22;0.73;0.01;43.85
DE0007165607;SRT.F;Healthcare;Medical Instruments & Supplies;https://www.sartorius.com/;Sartorius Aktiengesellschaft;196.6;-38.03;-5.17;-2.61;-2.61;0.29;0.0;-29.98
DE0007165631;SRT3.F;Healthcare;Medical Instruments & Supplies;https://www.sartorius.com/;Sartorius Aktiengesellschaft;257.8;-39.17;-6.58;-3.41;-4.4;0.3;0.0;-29.98
DE0007193500;SKB.F;Industrials;Specialty Industrial Machinery;https://www.koenig-bauer.com/;Koenig & Bauer AG;10.26;9.91;1.04;-0.84;-0.84;0.26;0.0;-6.74
DE0007201907;SIS.DE;Technology;Semiconductor Equipment & Materials;https://www.first-sensor.com/;First Sensor AG;54.6;11.56;4.72;8.41;8.41;1.05;0.01;7.51
DE0007203705;SHF.DE;Technology;Information Technology Services;https://www.snpgroup.com/;SNP Schneider-Neureither & Partner SE;79.8;7.86;10.15;25.83;25.83;0.59;0.01;22.89
DE0007229007;SWA.DE;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.schloss-wachenheim.com/;Schloss Wachenheim AG;14.7;12.66;1.16;-3.08;-3.08;0.43;0.23;12.25
DE0007231326;SIX2.DE;Industrials;Rental & Leasing Services;https://www.sixt.com/;Sixt SE;67.85;42.66;1.59;4.11;4.11;0.33;0.04;40.28
DE0007231334;SIX3.DE;Industrials;Rental & Leasing Services;https://www.sixt.com/;Sixt SE;52.9;43.22;1.22;3.07;3.07;0.28;0.09;40.28
DE0007235301;SGL.DE;Basic Materials;Chemicals;https://www.sglcarbon.com/;SGL Carbon SE;3.65;4.26;0.86;-4.15;-4.15;0.47;0.0;4.87
DE0007236101;SIE.F;Industrials;Specialty Industrial Machinery;https://www.siemens.com/;Siemens Aktiengesellschaft;259.85;12.02;21.62;-5.17;-5.17;0.42;0.01;69.58
DE0007274136;STO3.DE;Industrials;Building Products & Equipment;https://www.sto.de/;Sto SE & Co. KGaA;117.2;107.21;1.09;3.94;1.18;0.82;0.0;87.13
DE0007276503;YSN.DE;Technology;Software - Infrastructure;https://www.secunet.com/;secunet Security Networks Aktiengesellschaft;194.8;10.27;18.97;-1082.22;81.17;0.5;0.01;25.89
DE0007297004;SZU.F;Consumer Defensive;Packaged Foods;https://www.suedzuckergroup.com/;Südzucker AG;9.6;12.17;0.79;-1.61;-1.61;0.35;0.4;12.81
DE0007314007;HDD.DE;Industrials;Specialty Industrial Machinery;https://www.heidelberg.com/;Heidelberger Druckmaschinen Aktiengesellschaft;2.055;1.07;1.92;-1.27;-1.27;0.26;0.0;2.17
DE0007446007;TTK.DE;Industrials;Business Equipment & Supplies;https://www.takkt.de/;TAKKT AG;3.825;-0.01;-382.5;-1.93;-1.93;0.6;0.85;9.96
DE0007448508;IVU.DE;Technology;Software - Application;https://www.ivu.com/;IVU Traffic Technologies AG;21.0;3.49;6.02;9.55;9.55;0.8;0.07;6.22
DE0007461006;TPE.DE;Industrials;Specialty Industrial Machinery;https://www.pvatepla.com/;PVA TePla AG;28.96;6.06;4.78;11.1;6.03;0.57;0.0;0.3
DE0007480204;DEQ.DE;Real Estate;Real Estate Services;https://www.deutsche-euroshop.de/;Deutsche EuroShop AG;18.96;22.82;0.83;-0.61;-0.61;0.43;0.26;13.75
DE0007493991;SAX.DE;Communication Services;Advertising Agencies;https://www.stroeer.de/;Ströer SE & Co. KGaA;35.65;-12.49;-2.85;-1.0;-1.0;0.17;0.11;44.45
DE0007500001;TKA.DE;Industrials;Conglomerates;https://www.thyssenkrupp.com/;thyssenkrupp AG;10.32;12.74;0.81;15.18;1.09;0.43;0.08;8.13
DE0007507501;WSU.DE;Industrials;Specialty Industrial Machinery;https://www.washtec.de/;WashTec AG;48.7;1.42;34.3;-15.17;-15.17;0.27;0.09;26.0
DE0007551509;UZU.F;Basic Materials;Specialty Chemicals;https://www.uzin-utz.com/;Uzin Utz SE;72.5;48.45;1.5;23.93;23.93;0.69;0.04;24.62
DE0007568578;F3C.DE;Industrials;Electrical Equipment & Parts;https://www.sfc.com/;SFC Energy AG;13.68;6.82;2.01;2.95;2.43;1.04;0.0;-3.29
DE0007657231;VIB3.F;Industrials;Building Products & Equipment;https://www.villeroyboch-group.com/;Villeroy & Boch AG;17.1;-2.09;-8.18;-0.66;-0.66;0.21;0.3;-17.51
DE0007664005;VOW.DE;Consumer Cyclical;Auto Manufacturers;https://www.volkswagen-group.com/;Volkswagen AG;101.1;177.46;0.57;-0.25;-0.25;0.33;0.05;-114.7
DE0007664039;VOW3.DE;Consumer Cyclical;Auto Manufacturers;https://www.volkswagen-group.com/;Volkswagen AG;101.4;177.23;0.57;-0.25;-0.25;0.32;0.06;-114.7
DE0007667107;VOS.DE;Industrials;Railroads;https://www.vossloh.com/;Vossloh AG;84.3;18.93;4.45;-16.66;-16.66;0.52;0.03;24.93
DE0007830572;4DS.F;Energy;Oil & Gas Drilling;https://www.daldrup.eu/;Daldrup & Söhne Aktiengesellschaft;18.15;3.88;4.68;7.76;7.76;0.84;0.0;3.81
DE0007846867;V6C.DE;Technology;Scientific & Technical Instruments;https://www.viscom.com/;Viscom SE;4.16;3.59;1.16;2.43;2.43;0.55;0.96;2.49
DE0007856023;ZIL2.F;Consumer Cyclical;Auto Parts;https://www.elringklinger.com/;ElringKlinger AG;4.35;8.12;0.54;-1.02;-1.02;0.39;0.0;5.75
DE0007857476;KA8.DE;Communication Services;Broadcasting;https://www.klassikradio.de/;Klassik Radio AG;0;0.42;0.0;0.0;0.0;0.45;0;0.74
DE0008019001;PBB.DE;Financial Services;Mortgage Finance;https://www.pfandbriefbank.com/;Deutsche Pfandbriefbank AG;4.356;25.05;0.17;0.17;0.17;0.08;0.0;-39.3
DE0008041005;EFF.SG;;;https://twitter.com/YahooFinance;;3.5;0.74;4.73;-3.72;-3.72;0.43;0.0;0.0
DE0008051004;WUW.DE;Financial Services;Insurance - Life;https://www.ww-ag.com/;Wüstenrot & Württembergische AG;14.88;50.97;0.29;0.28;0.28;0.07;0.29;22.02
DE0008148206;MBK.DE;Financial Services;Banks - Regional;https://www.merkur-privatbank.de/;Merkur PrivatBank KgaA;18.5;18.35;1.01;1.01;1.01;0.04;0.16;0.0
DE0008232125;LHA.DE;Industrials;Airlines;https://www.lufthansagroup.com/;Deutsche Lufthansa AG;8.37;8.37;1.0;-0.5;-0.5;0.29;0.64;6.3
DE0008303504;TEG.DE;Real Estate;Real Estate - Diversified;https://www.tag-ag.com/;TAG Immobilien AG;14.31;15.56;0.92;-0.76;-0.76;0.42;0.36;-2.02
DE0008402215;HNR1.DE;Financial Services;Insurance - Reinsurance;https://www.hannover-re.com/;Hannover Rück SE;244.6;98.86;2.47;2.46;2.46;0.17;0.01;55.1
DE0008404005;ALV.DE;Financial Services;Insurance - Diversified;https://www.allianz.com/;Allianz SE;380.6;106.66;3.57;2.44;2.44;0.06;0.01;130.52
DE0008430026;MUV2.DE;Financial Services;Insurance - Reinsurance;https://www.munichre.com/;Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München;527.0;215.4;2.45;2.45;2.45;0.11;0.01;141.51
DE0008435967;NBG6.DE;Financial Services;Insurance - Diversified;https://www.nuernberger.com/;NÜRNBERGER Beteiligungs-AG;120.5;63.78;1.89;1.67;1.67;0.02;0.04;18.05
DE000A0B9N37;JDC.DE;Financial Services;Financial Conglomerates;https://www.jdcgroup.de/;JDC Group AG;27.4;0;0;0;0;0;0.0;0
DE000A0BL849;V3V.DE;Healthcare;Medical Care Facilities;https://www.famicord.com/;FamiCord AG;5.75;-1.9;-3.03;-0.95;-0.95;0.09;0.34;2.6
DE000A0D6554;NDX1.DE;Industrials;Specialty Industrial Machinery;https://www.nordex-online.com/;Nordex SE;32.14;1.09;29.49;-7.3;-7.3;0.23;0.0;2.54
DE000A0D9PT0;MTX.DE;Industrials;Aerospace & Defense;https://www.mtu.de/;MTU Aero Engines AG;387.4;44.88;8.63;-18.14;-18.14;0.4;0.0;41.86
DE000A0DJ6J9;S92.DE;Technology;Solar;https://www.sma.de/;SMA Solar Technology AG;33.78;12.47;2.71;15.71;3.67;0.42;0.11;7.94
