ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
FR0000039091;RBT.PA;Basic Materials;Chemicals;https://www.robertet.com/;Robertet SA;900.0;186.16;4.83;11.65;5.04;0.68;0.0;154.76
FR0000039299;BOL.PA;Communication Services;Entertainment;https://www.bollore.com/;Bolloré SE;4.794;8.99;0.53;2.63;2.63;1.2;0.26;5.9
FR0000044448;NEX.PA;Industrials;Electrical Equipment & Parts;https://www.nexans.com/fr;Nexans S.A.;124.3;23.46;5.3;-3.54;-3.54;0.28;0.02;72.7
FR0000044471;GDS.PA;Healthcare;Medical Care Facilities;https://www.ramsaygds.fr/;Ramsay Générale de Santé SA;10.2;-10.4;-0.98;-0.26;-0.26;0.18;0.86;29.29
FR0000045072;ACA.PA;Financial Services;Banks - Regional;https://www.credit-agricole.com/;Crédit Agricole S.A.;17.55;18.19;0.96;0.71;0.71;0.03;0.3;-22.4
FR0000045601;CBE.PA;Basic Materials;Chemicals;https://www.robertet.com/;Robertet SA;793.8;190.1;4.18;9.93;4.42;0.66;0.0;154.63
FR0000050353;FII.PA;Industrials;Aerospace & Defense;https://www.lisi-group.com/;Lisi S.A.;55.4;12.08;4.59;-8.96;31.84;0.5;0.03;9.12
FR0000050809;SOP.PA;Technology;Information Technology Services;https://www.soprasteria.com/;Sopra Steria Group SA;153.3;-33.62;-4.56;-1.9;-3.06;0.37;0.01;161.88
FR0000051070;MAU.PA;Energy;Oil & Gas E&P;https://www.maureletprom.fr/;Etablissements Maurel & Prom S.A.;6.27;5.04;1.24;-3.18;-3.18;0.68;0.45;8.14
FR0000051807;TEP.PA;Industrials;Specialty Business Services;https://www.tp.com/;Teleperformance SE;57.6;-36.74;-1.57;-0.91;-0.91;0.42;0.05;61.66
FR0000052292;RMS.PA;Consumer Cyclical;Luxury Goods;https://finance.hermes.com/;Hermès International Société en commandite par actions;0;160.83;0.0;0.0;0.0;1.51;0;318.54
FR0000053225;MMT.PA;Communication Services;Broadcasting;https://www.groupem6.fr/;Métropole Télévision S.A.;11.84;5.23;2.26;3.87;3.0;0.77;0.46;16.08
FR0000054470;UBI.PA;Communication Services;Electronic Gaming & Multimedia;https://www.ubisoft.com/;Ubisoft Entertainment SA;6.89;-5.93;-1.16;-0.73;-0.75;0.48;0.0;-15.91
FR0000054900;TFI.PA;Communication Services;Broadcasting;https://www.groupe-tf1.fr/;TF1 SA;7.89;4.42;1.79;2.9;2.09;0.64;0.81;10.72
FR0000060303;COVH.PA;Real Estate;REIT - Hotel & Motel;https://www.covivio-hotels.fr/;Covivio Hotels;23.2;20.98;1.11;-1.18;-2.15;0.52;0.24;22.36
FR0000062234;ODET.PA;Communication Services;Entertainment;https://www.compagniedelodet.net/;Compagnie de l'Odet;0;3094.62;0.0;-0.0;-0.0;0.75;0;3895.47
FR0000064271;STF.PA;Industrials;Integrated Freight & Logistics;https://www.stef.com/;STEF SA;126.2;69.22;1.82;-1.05;-1.05;0.33;0.03;18.3
FR0000064578;COV.PA;Real Estate;REIT - Diversified;https://covivio.eu/en/;Covivio;54.05;71.16;0.76;-0.41;-0.41;0.34;0.12;77.98
FR0000064784;PEUG.PA;Financial Services;Asset Management;https://www.peugeot-invest.com/;Peugeot Invest Société anonyme;77.2;183.41;0.42;0.42;0.42;0.68;0.04;88.54
FR0000065484;LSS.PA;Technology;Software - Application;https://www.lectra.com/;Lectra SA;24.05;-4.89;-4.92;-3.48;-3.48;0.43;0.05;1.01
FR0000071946;ATE.PA;Technology;Information Technology Services;https://www.alten.com/;Alten S.A.;74.7;23.27;3.21;7.4;3.79;0.66;0.02;31.27
FR0000073272;SAF.PA;Industrials;Aerospace & Defense;https://www.safran-group.com/;Safran SA;320.7;-6.5;-49.34;-10.04;-13.07;0.21;0.01;56.75
FR0000073298;IPS.PA;Industrials;Consulting Services;https://www.ipsos.com/;Ipsos SA;33.68;0.17;198.12;-6.9;-14.71;0.61;0.08;43.5
FR0000076952;ARTO.PA;Technology;Computer Hardware;https://sif-artois.fr/;Société Industrielle et Financière de l'Artois Société anonyme;0;8746.92;0.0;0.0;0.0;1.34;0;-14.63
FR0000077919;DEC.PA;Communication Services;Advertising Agencies;https://www.jcdecaux.com/;JCDecaux SE;16.82;-0.67;-25.1;-0.89;-1.0;0.3;0.12;34.15
FR0000120073;AI.PA;Basic Materials;Specialty Chemicals;https://www.airliquide.com/;L'Air Liquide S.A.;159.22;15.86;10.04;-5.47;-5.47;0.51;0.01;43.39
FR0000120172;CA.PA;Consumer Defensive;Grocery Stores;https://www.carrefour.com/;Carrefour SA;13.79;0.48;28.73;-0.39;-2.79;0.21;0.3;34.21
FR0000120271;TTE.PA;Energy;Oil & Gas Integrated;https://www.totalenergies.com/;TotalEnergies SE;56.8;46.02;1.23;-1.8;-2.08;0.46;0.1;81.11
FR0000120321;OR.PA;Consumer Defensive;Household & Personal Products;https://www.loreal.com/;L'Oreal SA;384.85;25.64;15.01;-39.88;-39.88;0.63;0.0;86.99
FR0000120404;AC.PA;Consumer Cyclical;Lodging;https://group.accor.com/en;Accor SA;46.3;-2.3;-20.13;-2.78;-3.58;0.47;0.05;11.81
FR0000120503;EN.PA;Industrials;Engineering & Construction;https://www.bouygues.com/;Bouygues SA;45.32;-12.92;-3.51;-0.82;-1.03;0.22;0.12;20.5
FR0000120578;SAN.PA;Healthcare;Drug Manufacturers - General;https://www.sanofi.com/;Sanofi;80.78;3.61;22.38;-4.38;-4.38;0.61;0.05;47.04
FR0000120628;CS.PA;Financial Services;Insurance - Diversified;https://www.axa.com/;AXA SA;39.27;12.59;3.12;1.71;1.71;0.08;0.14;15.57
FR0000120644;BN.PA;Consumer Defensive;Packaged Foods;https://www.danone.com/;Danone S.A.;75.44;-9.65;-7.82;-3.3;-3.3;0.45;0.05;43.91
FR0000120669;NAE.PA;Energy;Oil & Gas Refining & Marketing;https://northatlantic.fr/;North Atlantic Energies;45.5;173.39;0.26;0.37;0.37;0.74;0.15;317.12
FR0000120693;RI.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.pernod-ricard.com/;Pernod Ricard SA;74.88;-10.76;-6.96;-1.98;-2.57;0.43;0.04;36.92
FR0000120859;NK.PA;Basic Materials;Building Materials;https://www.imerys.com/;Imerys S.A.;25.24;12.3;2.05;-1.48;-2.2;0.54;0.18;28.71
