Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0010285965;Communication Services;Advertising Agencies;https://numberly.com/fr;1000mercis;26,8;42,59;0,63;-3,49;0,23;0,08
FR0013341781;Technology;Computer Hardware;https://2crsi.com/;2CRSI S.A.;4,3;2,78;1,55;4,34;0,49;0
IT0005204729;Real Estate;REIT - Specialty;https://www.4aim.it/;4AIM SICAF S.p.A.;239;0;0;0;1,03;0
IT0005440323;;;https://issgovernance.com/quickscore;4AIM SICAF COMPARTO 2 CROWDFUND;202;0;0;0;0;0
DK0060945467;Communication Services;Electronic Gaming & Multimedia;https://www.5thplanetgames.com/;5th Planet Games A/S;1,6;0,31;5,16;8,42;2,03;0
IT0005439861;Energy;Oil & Gas Refining & Marketing;https://www.abpnocivelli.com/;Azienda Bresciana Petroli Nocivelli S.p.A.;4,52;2,86;1,58;2,33;1,52;0
FR0000076887;Consumer Cyclical;Residential Construction;https://www.ast-groupe.fr/;AST Groupe;0,454;8,02;0,06;-0,24;0,13;11,26
IT0001233417;Utilities;Utilities - Diversified;https://www.gruppoa2a.it/it/home;A2A S.p.A.;1,9085;4,85;0,39;-0,97;0,24;2,88
NL0000852564;Industrials;Specialty Industrial Machinery;https://www.aalberts.com/;Aalberts N.V.;42,4;24,34;1,74;-24,65;0,61;0,05
NO0010672181;Financial Services;Banks - Regional;https://aasen-sparebank.no/;Aasen Sparebank;111;3852,12;0,03;-0,03;0,11;0,06
IT0005548521;Technology;Software - Infrastructure;https://aatech.it/;AATECH S.p.A. Società Benefit;1,04;0;0;0;0;0
BE0974293251;Consumer Defensive;Beverages - Brewers;https://www.ab-inbev.com/;Anheuser-Busch InBev SA/NV;56,38;34,86;1,62;-0,96;0,39;0,03
FR0010557264;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.ab-science.com/;AB Science S.A.;1,172;0,46;2,55;-2,25;1,08;0
FR0004040608;Financial Services;Asset Management;https://www.abc-arbitrage.com/;ABC arbitrage SA;4,075;2,9;1,41;-14,55;0,9;1,44
FR0013185857;Consumer Cyclical;Leisure;https://www.groupe-abeo.fr/;Abéo SA;11,8;24,97;0,47;-0,95;0,36;0
NO0003021909;Financial Services;Capital Markets;https://www.abgsc.com/;ABG Sundal Collier Holding ASA;6,18;10;0,62;9,09;0,24;1,74
FR0012616852;Healthcare;Biotechnology;https://abionyx.com/;ABIONYX Pharma SA;1,25;0,29;4,31;0;0,74;0
