Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0010285965;;;;1000mercis;29.8;42.59;0.7;0.47;0.2;0.07
FR0013341781;;;;2CRSI S.A.;3.84;2.78;1.38;0.97;0.49;0.0
IT0005204729;;;;4AIM SICAF S.p.A.;124.0;0;0;0;1.0;0.0
IT0005440323;;;;4AIM SICAF COMPARTO 2 CROWDFUND;177.66;0;0;0;0;0.0
DK0060945467;;;;5th Planet Games A/S;1.21;0.25;4.84;6.72;1.26;0.0
IT0005439861;;;;Azienda Bresciana Petroli Nocivelli S.p.A.;5.15;2.92;1.76;1.38;0.74;0.0
IT0001233417;;;;A2A S.p.A.;2.17;0;0;0;0.23;2.55
NL0000852564;;;;Aalberts N.V.;37.22;24.34;1.53;1.33;0.61;0.06
NO0010672181;;;;Aasen Sparebank;118.9;3922.18;0.03;0.03;0.12;0.05
IT0005548521;;;;AATECH S.p.A. Società Benefit;0.61;0.0;0;0;0;0.0
BE0974293251;;;;Anheuser-Busch InBev SA/NV;50.54;0;0;0;0.38;0.03
FR0010557264;;;;AB Science S.A.;0.794;0.42;1.89;2.15;0.94;0.0
FR0004040608;;;;ABC arbitrage SA;4.68;2.9;1.61;16.71;0.95;1.29
IT0005466294;;;;ABC Company S.p.A.;3.7;2.87;1.29;1.84;0.71;0.0
FR0013185857;;;;Abéo SA;10.25;29.12;0.35;0.26;0.37;0.0
NO0003021909;;;;ABG Sundal Collier Holding ASA;6.86;11.19;0.61;0.34;0.15;1.52
FR0012616852;;;;ABIONYX Pharma SA;1.28;0.27;4.74;3.2;0.74;0.0
IT0005445280;;;;Abitare In S.p.A.;4.26;11.5;0.37;0.24;0.35;0.0
FR0012333284;;;;ABIVAX Société Anonyme;8.06;4.77;1.69;1.22;2.1;0.0
FR001400AHX6;;;;ABL Diagnostics Société anonyme;2.86;0.77;3.71;2.33;0.45;0.0
NO0010715394;;;;ABL Group ASA;9.78;1.03;9.5;5.96;0.52;0.0
NL0011540547;;;;ABN AMRO Bank N.V.;14.68;484.69;0.03;0.03;0.06;0.0
BE0974278104;;;;ABO-Group Environment NV;5.05;7.46;0.68;0.49;0.33;0.0
FR0000064602;;;;Acanthe Developpement;0.317;0.83;0.38;1.38;0.91;103.79
BE0003696102;;;;Accentis N.V.;0.0285;0;0;0;0.65;0.0
FR0000120404;;;;Accor SA;44.0;28.32;1.55;1.18;0.46;0.05
GB00BQQFX454;;;;Accsys Technologies PLC;46.95;0.83;56.57;69.04;0.57;0.0
IT0001207098;;;;ACEA S.p.A.;18.11;56.54;0.32;0.32;0.2;0.29
FR001400JAP8;;;;Acheter-Louer.Fr SA;0.4;0;0;0;0.29;0.0
IT0001382024;;;;Acinque S.p.A.;2.05;2.71;0.76;0.55;0.52;1.91
