Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANNPA;Solvabilité
ACA.PA;Financial Services;Banks - Regional;https://www.credit-agricole.com/;Crédit Agricole S.A.;15,65;722,57;-0,02;0,03
TEP.PA;Industrials;Specialty Business Services;https://www.teleperformance.com/;Teleperformance SE;110,55;89,18;-1,68;0,39
RMS.PA;Consumer Cyclical;Luxury Goods;https://finance.hermes.com/;Hermès International Société en commandite par actions;2282;192,39;27,26;1,55
SAF.PA;Industrials;Aerospace & Defense;https://www.safran-group.com/;Safran SA;210,2;0;-2,26;0
AI.PA;Basic Materials;Specialty Chemicals;https://www.airliquide.com/;L'Air Liquide S.A.;186,18;0;0;0
CA.PA;Consumer Defensive;Grocery Stores;https://www.carrefour.com/;Carrefour SA;16,26;0;0;0
TTE.PA;Energy;Oil & Gas Integrated;https://www.totalenergies.com/;TotalEnergies SE;66,3;0;0;0
OR.PA;Consumer Defensive;Household & Personal Products;https://www.loreal.com/;L'Oreal SA;456,25;0;0;0
AC.PA;Consumer Cyclical;Lodging;https://www.group.accor.com/en;Accor SA;41,45;0;0;0
EN.PA;Industrials;Engineering & Construction;https://www.bouygues.com/;Bouygues SA;36,2;0;0;0
SAN.PA;Healthcare;Drug Manufacturers - General;https://www.sanofi.com/;Sanofi;90,34;42,19;-5,27;0,63
CS.PA;Financial Services;Insurance - Diversified;https://www.axa.com/;AXA SA;33,67;282,48;-0,13;0,07
BN.PA;Consumer Defensive;Packaged Foods;https://www.danone.com/;Danone S.A.;59,72;33,33;-2,5;0,42
RI.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.pernod-ricard.com/;Pernod Ricard SA;149,6;78,71;-4,42;0,44
MC.PA;Consumer Cyclical;Luxury Goods;https://www.lvmh.com/;LVMH Moët Hennessy - Louis Vuitton, Société Européenne;784,1;187,69;-10,51;0,46
HO.PA;Industrials;Aerospace & Defense;https://www.thalesgroup.com/en;Thales S.A.;166,8;139;-3,37;0,2
KER.PA;Consumer Cyclical;Luxury Goods;https://www.kering.com/;Kering SA;337,9;211,67;-3,09;0,41
EL.PA;Healthcare;Medical Instruments & Supplies;https://www.essilorluxottica.com/;EssilorLuxottica Société anonyme;207,4;41,65;-8,04;0,66
SU.PA;Industrials;Specialty Industrial Machinery;https://www.se.com/;Schneider Electric S.E.;235,15;50,76;-11,31;0,49
VIE.PA;Industrials;Waste Management;https://www.veolia.com/fr;Veolia Environnement SA;30,69;73,35;-0,73;0,2
SGO.PA;Industrials;Building Products & Equipment;https://www.saint-gobain.com/;Compagnie de Saint-Gobain S.A.;81,92;79,13;-3,64;0,48
CAP.PA;Technology;Information Technology Services;https://www.capgemini.com/;Capgemini SE;207,5;74,08;-7,93;0,5
DG.PA;Industrials;Engineering & Construction;https://www.vinci.com/;Vinci SA;116,1;112,54;-1,62;0,27
VIV.PA;Communication Services;Entertainment;https://www.vivendi.com/;Vivendi SE;10,015;25;-1,03;0,47
PUB.PA;Communication Services;Advertising Agencies;https://www.publicisgroupe.com/;Publicis Groupe S.A.;106,5;93,52;-4,14;0,3
GLE.PA;Financial Services;Banks - Regional;https://www.societegenerale.com/;Société Générale Société anonyme;27,25;1997,59;-0,01;0,04
BNP.PA;Financial Services;Banks - Regional;https://group.bnpparibas/;BNP Paribas SA;71,76;2389,42;-0,03;0,05
RNO.PA;Consumer Cyclical;Auto Manufacturers;https://www.renaultgroup.com/;Renault SA;49,64;403,8;-2,91;0,29
ORA.PA;Communication Services;Telecom Services;https://www.orange.com/;Orange S.A.;10,725;26,76;-0,57;0,31
ENGI.PA;Utilities;Utilities - Diversified;https://www.engie.com/;Engie SA;15,775;71,33;-0,46;0,17
LR.PA;Industrials;Electrical Equipment & Parts;https://www.legrandgroup.com/;Legrand SA;104,25;26,94;-10,22;0,56
EDEN.PA;Financial Services;Credit Services;https://www.edenred.com/;Edenred SE;48,04;37,44;-2,39;0,07
URW.PA;Real Estate;REIT - Retail;https://www.urw.com/;Unibail-Rodamco-Westfield SE;79,42;373;-0,43;0,36
ERF.PA;Healthcare;Diagnostics & Research;https://www.eurofins.com/;Eurofins Scientific SE;59,58;28,87;-4,26;0,53
DSY.PA;Technology;Software - Application;https://www.3ds.com/;Dassault Systèmes SE;38,02;11,48;-77,59;0,75
ML.PA;;;;;36,97;0;0;0,55
MT.PA;;;;ArcelorMittal SA;0;0;0;0
STMPA.PA;Technology;Semiconductors;https://www.st.com/;STMicroelectronics N.V.;39,255;27,02;8,57;0,91
AIR.PA;Industrials;Aerospace & Defense;https://www.airbus.com/;Airbus SE;159,6;133,64;-3,38;0,17
STLAP.PA;Consumer Cyclical;Auto Manufacturers;https://www.stellantis.com/;Stellantis N.V.;21,105;50,51;-2,21;0,53
SOLB.PA;;;https://finance.yahoo.com/sector/energy;;0;0;0;0
XFAB.PA;Technology;Semiconductors;https://www.xfab.com/;X-FAB Silicon Foundries SE;6,94;13,13;10,68;0,72
VIRP.PA;Healthcare;Drug Manufacturers - General;https://corporate.virbac.com/;Virbac SA;366,5;133,43;10,6;0,75
VCT.PA;Basic Materials;Building Materials;https://www.vicat.fr/;Vicat S.A.;36,55;112,78;-1,03;0,47
ICAD.PA;Real Estate;REIT - Diversified;https://www.icade.fr/;Icade;28,32;152,67;-1,13;0,51
BEN.PA;Consumer Cyclical;Recreational Vehicles;https://www.beneteau-group.com/;Bénéteau S.A.;14,16;23,32;3,1;0,44
BOL.PA;Communication Services;Entertainment;https://www.bollore.com/;Bolloré SE;6,165;16,58;-2,13;0,4
MRN.PA;Industrials;Electrical Equipment & Parts;https://www.mersen.com/;Mersen S.A.;39,5;50,73;-6,98;0,54
NEX.PA;Industrials;Electrical Equipment & Parts;https://www.nexans.com/;Nexans S.A.;110,6;138,7;-4,67;0,31
SOP.PA;Technology;Information Technology Services;https://www.soprasteria.com/;Sopra Steria Group SA;221,8;156,6;-2,19;0,32
MAU.PA;Energy;Oil & Gas E&P;https://www.maureletprom.fr/;Etablissements Maurel & Prom S.A.;6,39;8,49;-3,15;0,62
ATO.PA;Technology;Information Technology Services;https://www.atos.net/;Atos SE;2,127;84,44;-0,05;0,24
MMT.PA;Communication Services;Broadcasting;https://www.groupem6.fr/;Métropole Télévision S.A.;13,24;11,31;3,63;0,81
DBG.PA;Industrials;Waste Management;https://www.derichebourg.com/;Derichebourg SA;4,912;14,48;-0,93;0,41
UBI.PA;Communication Services;Electronic Gaming & Multimedia;https://www.ubisoft.com/;Ubisoft Entertainment SA;20,03;20,99;-2,08;0,46
TFI.PA;Communication Services;Broadcasting;https://www.groupe-tf1.fr/;TF1 SA;8,72;12,85;2,95;0,66
COV.PA;Real Estate;REIT - Diversified;https://covivio.eu/en/;Covivio;49,84;239,21;-0,48;0,33
LSS.PA;Technology;Software - Application;https://www.lectra.com/;Lectra SA;34,15;10,27;-4,38;0,37
ATE.PA;Technology;Information Technology Services;https://www.alten.com/;Alten S.A.;125,3;65,38;8,04;0,66
IPS.PA;Industrials;Consulting Services;https://www.ipsos.com/;Ipsos SA;66,2;29,96;-2,15;0,51
DEC.PA;Communication Services;Advertising Agencies;https://www.jcdecaux.com/;JCDecaux SE;21,32;32,33;-1,01;0,26
NK.PA;Basic Materials;Building Materials;https://www.imerys.com/;Imerys S.A.;35,62;58,98;-2,29;0,53
BB.PA;Consumer Defensive;Household & Personal Products;https://fr.bic.com/fr;Société BIC SA;66,7;55,42;4,17;0,77
RF.PA;Financial Services;Asset Management;https://www.eurazeo.com/en/;Eurazeo SE;81,8;129,83;-6,24;0,84
FRVIA.PA;Consumer Cyclical;Auto Parts;https://www.forvia.com/;Forvia SE;16,27;106,76;-0,3;0,17
MF.PA;Financial Services;Asset Management;https://www.wendelgroup.com/en/;Wendel SE;95,5;216,25;-1,38;0,21
SW.PA;Industrials;Specialty Business Services;https://www.sodexo.com/;Sodexo S.A.;83,35;65,2;-2,42;0,31
SK.PA;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.groupeseb.com/;SEB SA;115,3;111,13;-4,15;0,41
LI.PA;Real Estate;REIT - Retail;https://www.klepierre.com/;Klépierre SA;25,46;68,65;-0,79;0,41
POM.PA;Consumer Cyclical;Auto Parts;https://www.opmobility.com/;OPmobility;11,94;38,42;-0,68;0,28
RCO.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.remy-cointreau.com/;Rémy Cointreau SA;93,5;59,64;6,31;0,54
FGR.PA;Industrials;Engineering & Construction;https://www.eiffage.com/;Eiffage SA;107,3;236,45;-0,66;0,2
ERA.PA;Basic Materials;Other Industrial Metals & Mining;https://www.eramet.com/en;ERAMET S.A.;101,8;207,61;-2,23;0,34
ITP.PA;Consumer Defensive;Household & Personal Products;https://www.interparfums.fr/;Interparfums SA;48,4;0;0;0
VLA.PA;Healthcare;Biotechnology;https://valneva.com/;Valneva SE;4,132;0;0;0
AMUN.PA;Financial Services;Asset Management;https://legroupe.amundi.com/;Amundi S.A.;71,9;142,18;-0,78;0,32
TRI.PA;Consumer Cyclical;Recreational Vehicles;https://www.trigano.fr/;Trigano Société Anonyme;144,2;107,69;4,13;0,74
BVI.PA;Industrials;Consulting Services;https://group.bureauveritas.com/;Bureau Veritas SA;27,9;9,24;-8,25;0,35
GFC.PA;Real Estate;REIT - Office;https://www.gecina.fr/;Gecina;102,2;236,37;-1,15;0,6
NXI.PA;Real Estate;Real Estate—Diversified;https://www.nexity.fr/;Nexity SA;12,16;130,61;-1,79;0,24
ALO.PA;Industrials;Railroads;https://www.alstom.com/;Alstom SA;18,315;56,97;-0,94;0,27
ETL.PA;Technology;Communication Equipment;https://www.eutelsat.com/;Eutelsat Communications Société Anonyme;4,176;14,83;-0,62;0,51
MERY.PA;Real Estate;REIT—Retail;https://www.mercialys.com/;Mercialys SA;11,07;22,96;-0,94;0,33
IPN.PA;Healthcare;Drug Manufacturers—Specialty & Generic;https://www.ipsen.com/;Ipsen S.A.;122,2;36,03;-16,83;0,66
VU.PA;Technology;Software—Application;https://www.vusion.com/;VusionGroup;160,2;47,5;-25,55;0,33
AKE.PA;Basic Materials;Specialty Chemicals;https://www.arkema.com/;Arkema S.A.;98,2;129,25;-4,32;0,61
ADP.PA;Industrials;Airports & Air Services;https://www.parisaeroport.fr/;Aeroports de Paris SA;127,2;170,21;-1,22;0,25
SCR.PA;Financial Services;Insurance—Reinsurance;https://www.scor.com/;SCOR SE;31,6;198,24;-0,18;0,13
RXL.PA;Technology;Electronics & Computer Distribution;https://www.rexel.com/;Rexel S.A.;27,96;28,39;-5,94;0,43
ARG.PA;Real Estate;REIT—Industrial;https://www.argan.fr/;Argan SA;78,9;158,15;-1;0,47
GET.PA;Industrials;Railroads;https://www.getlinkgroup.com/;Getlink SE;16,715;16,34;-1,9;0,33
COFA.PA;Financial Services;Insurance—Reinsurance;https://www.coface.com/;COFACE SA;15,35;53,36;-0,39;0,27
CARM.PA;Real Estate;REIT—Retail;https://www.carmila.com/;Carmila S.A.;16,46;47,3;-0,98;0,56
IDL.PA;Industrials;Specialty Business Services;https://www.id-logistics.com/;ID Logistics Group SA;381;323,91;-1,86;0,18
NEOEN.PA;Utilities;Utilities—Renewable;https://www.neoen.com/;Neoen S.A.;30,48;44,45;-1,27;0,4
GTT.PA;Energy;Oil & Gas Equipment & Services;https://www.gtt.fr/;Gaztransport & Technigaz SA;134,5;15,64;20,85;0,96
ELIOR.PA;Consumer Cyclical;Restaurants;https://www.eliorgroup.com/;Elior;3,894;7,37;-0,55;0,22
WLN.PA;Technology;Software—Infrastructure;https://www.worldline.com/;Worldline S.A.;11,7;36,26;-1,01;0,43
ELIS.PA;Industrials;Specialty Business Services;https://www.fr.elis.com/en;Elis SA;22,18;19,62;-1,29;0,4
SPIE.PA;Industrials;Engineering & Construction;https://www.spie.com/;SPIE SA;35,96;27,66;-1,75;0,25
DIM.PA;Healthcare;Medical Instruments & Supplies;https://www.sartorius.com/;Sartorius Stedim Biotech S.A.;196,9;32,39;-5,25;0,35
FR.PA;Consumer Cyclical;Auto Parts;https://www.valeo.com/;Valeo SE;13,11;59,59;-0,4;0,19
CGG.PA;Energy;Oil & Gas Equipment & Services;https://www.cgg.com/;CGG;0,5466;1,74;-0,44;0,39
