ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0013452281;ALAGP.PA;Utilities;Utilities - Renewable;https://www.agripower-france.com/;Agripower France Société Anonyme;1.08;1.83;0.59;0.97;0.88;0.0
LU0569974404;APAM.AS;Basic Materials;Steel;https://www.aperam.com/;Aperam S.A.;28.24;40.51;0.7;5.26;0.73;0.22
FR001400CFI7;AVT.PA;Technology;Communication Equipment;https://corporate.avenir-telecom.com/;Avenir Telecom S.A.;0.068;0.19;0.36;0.45;1.2;0.0
FR0000120966;BB.PA;Consumer Defensive;Household & Personal Products;https://fr.bic.com/fr;Société BIC SA;63.8;35.56;1.79;3.81;0.85;0.07
FR0013331212;ALDNE.PA;Communication Services;Electronic Gaming & Multimedia;https://dontnod-bourse.com/;Don't Nod Entertainment S.A.;1.185;4.38;0.27;0.29;1.52;0.0
ALDUB.PA;ALDUB.PA;Basic Materials;Specialty Chemicals;https://www.encresdubuit.com/;Encres Dubuit;2.64;5.82;0.45;0.82;1.0;2.33
EAPI.PA;EAPI.PA;;;;;0;0;0;0;0;0
FR0000075442;ALLDL.PA;Technology;Electronics & Computer Distribution;https://www.groupe-ldlc.com/;Groupe LDLC société anonyme;8.96;6.36;1.41;6.4;0.45;0.22
FR0000038531;ALHF.PA;Technology;Communication Equipment;https://www.hfcompany.com/;HF Company SA;4.71;7.93;0.59;0.64;4.63;1.31
FR0000033904;JCQ.PA;Basic Materials;Steel;https://www.jacquetmetals.com/;Jacquet Metals SA;17.84;28.67;0.62;2.0;0.47;0.21
ALEMG.PA;ALEMG.PA;Healthcare;Medical Devices;https://www.laboratoires-euromedis.fr/;Laboratoires Euromedis Société anonyme;4.34;11.25;0.39;0.46;1.05;0.24
FR0000053225;MMT.PA;Communication Services;Broadcasting;https://www.groupem6.fr/;Métropole Télévision S.A.;12.9;5.39;2.39;2.39;0.65;0.42
FR0010397232;ALNOV.PA;Healthcare;Medical Devices;https://www.novacyt.com/;Novacyt S.A.;0.598;0.79;0.76;1.07;0.97;0.0
FR0000061608;ALPDX.PA;Consumer Cyclical;Leisure;https://www.desjoyaux.com/;Piscines Desjoyaux SA;15.2;12.99;1.17;3.06;1.08;0.27
ALGIR.PA;ALGIR.PA;;;;;0;0;0;0;0;0
FR0010397901;ALTRI.PA;Industrials;Business Equipment & Supplies;https://www.trilogiq.com/;Trilogiq S.A.;6.5;10.76;0.6;0.77;1.97;0.0
FR0000031775;VCT.PA;Basic Materials;Building Materials;https://www.vicat.fr/;Vicat S.A.;42.5;30.87;1.38;-1.01;0.47;0.12
BE0003818359;GLPG.AS;Healthcare;Biotechnology;https://www.glpg.com/;Galapagos NV;22.34;39.42;0.57;0.64;4.15;0.0
FR001400N2P2;ALSPW.PA;Healthcare;Medical Instruments & Supplies;https://www.spineway.com/;Spineway SA;0.1288;0.49;0.26;0.86;0.78;0.0
