ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0010396309;Technology;Information Technology Services;https://www.hitechpros.com/;HITECHPROS Société anonyme;15.0;8.43;1.78;1.11;0.46;0.48
DE000A11Q133;Industrials;Aerospace & Defense;https://www.heckler-koch.com/;H&K AG;115.0;9.19;12.51;8.41;0.31;0.0
FR0000051302;;;https://twitter.com/YahooFinance;;73.0;0;0;0;0;0.0
DE0006070006;Industrials;Engineering & Construction;https://www.hochtief.com/;HOCHTIEF Aktiengesellschaft;129.4;345.96;0.37;0.25;0.03;0.04
FR0013451044;Basic Materials;Building Materials;https://www.ciments-hoffmann.fr/;Hoffmann Green Cement Technologies Societe anonyme;5.32;6.06;0.88;1.45;0.71;0.0
NO0010598683;Healthcare;Biotechnology;https://www.hofsethbiocare.com/;Hofseth BioCare ASA;1.3;0.82;1.59;1.33;0.28;0.0
NL0000440311;Basic Materials;Specialty Chemicals;https://www.hollandcolours.com/;Holland Colours N.V.;93.0;0;0;0;1.03;0.04
BE0974409410;Real Estate;REIT - Residential;https://www.homeinvestbelgium.be/;Home Invest Belgium S.A.;15.92;43.39;0.37;0.78;0.53;0.29
IT0005468662;Real Estate;Real Estate Services;https://homizy.com/;Homizy SIIQ S.p.A.;3.88;2.0;1.94;3.73;0.57;0.0
FR0010312181;Communication Services;Advertising Agencies;https://hopening.fr/;Hopening SA;7.1;0;0;0;0;0.0
FR0014000U63;Consumer Cyclical;Auto Manufacturers;https://www.hopium.com/;Hopium SA;0.0084;0.01;0.84;-0.14;9.29;0.0
FR0000065278;Communication Services;Advertising Agencies;https://www.hopscotchgroupe.com/;Hopscotch Global PR Group;15.8;65.33;0.24;0.13;0.14;0.34
NO0010917339;Industrials;Pollution & Treatment Controls;https://horisontenergi.no/;Horisont Energi AS;2.47;7.18;0.34;0.3;0.79;0.0
GB00BYYN4225;Consumer Cyclical;Travel Services;https://www.hostelworldgroup.com/;Hostelworld Group plc;142.5;0.59;241.53;274.04;0.48;0.0
ES0105664009;Consumer Cyclical;Lodging;https://www.hotelesbestprice.com/;Hoteles BESTPRICE, S.A.;3.0;0.0;0;0;0;0.0
FR0000053738;Consumer Cyclical;Lodging;https://www.hotelim.eu/;Hotelim Société Anonyme;39.4;0;0;0;0;0.0
FR0004165801;Consumer Cyclical;Lodging;https://www.leshotelsdeparis.com/;Les Hôtels de Paris SA;1.23;26.56;0.05;0.06;0.18;0.0
FR0006563904;Consumer Cyclical;Lodging;https://www.shin-hotels.com/;Société Hôtelière et Immobilière de Nice S.A.;200.0;0;0;0;0;0.0
NO0010859648;Technology;Software - Application;https://huddlestock.com/;Huddlestock Fintech AS;0.49;0.94;0.52;0.78;0.5;0.0
NO0010776990;Technology;Communication Equipment;https://www.huddly.com/;Huddly AS;0.263;0.69;0.38;0.27;0.59;0.0
