ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0000061780;Consumer Cyclical;Packaging & Containers;https://www.augros.fr/;Augros Cosmetic Packaging SA;7.2;0.0;0;0;0;0.0
DE000A2DAM03;Industrials;Specialty Industrial Machinery;https://www.aumann.com/;Aumann AG;10.32;19.83;0.52;0.37;0.91;0.0
FR0000039232;Industrials;Waste Management;https://www.aurea-france.com/;Aurea SA;5.2;21.48;0.24;0.19;0.4;0.39
FR0013183589;Industrials;Business Equipment & Supplies;https://www.aures.com/;AURES Technologies S.A.;6.23;15.48;0.4;0.25;0.36;0.4
NO0011032310;Real Estate;Real Estate Services;https://aurora.no/;Aurora Eiendom AS;82.0;289.93;0.28;0.48;0.44;0.0
NO0006001601;Financial Services;Banks - Regional;https://aurskog-sparebank.no/;Aurskog Sparebank;234.05;4122.06;0.06;0.06;0.12;0.02
NO0010073489;Consumer Defensive;Farm Products;https://www.auss.no/;Austevoll Seafood ASA;101.1;202.77;0.5;0.35;0.3;0.04
IT0000084043;Industrials;Engineering & Construction;https://www.autostrademeridionali.it/;Autostrade Meridionali S.p.A.;2.575;13.6;0.19;0.17;1.61;1.27
NL0012047823;Basic Materials;Specialty Chemicals;https://www.avantium.com/;Avantium N.V.;1.85;2.84;0.65;0.62;0.24;0.0
FR001400CFI7;Technology;Communication Equipment;https://corporate.avenir-telecom.com/;Avenir Telecom S.A.;0.0721;0.43;0.17;0.11;1.2;0.0
IT0005119810;Industrials;Aerospace & Defense;https://www.avio.com/;Avio S.p.A.;13.22;34.27;0.39;0.26;0.31;0.0
NO0012785098;Energy;Oil & Gas Drilling;https://www.awilcodrilling.com/;Awilco Drilling PLC;22.1;0.08;276.25;-170.0;129.63;1.31
NO0010607971;Industrials;Marine Shipping;https://www.awilcolng.no/;Awilco LNG ASA;4.155;2.56;1.62;2.33;0.4;0.0
FR0000120628;Financial Services;Insurance - Diversified;https://www.axa.com/;AXA SA;34.0;0;0;0;0.07;0.16
NO0010840515;Financial Services;Credit Services;https://www.axactor.com/;Axactor ASA;3.52;4.57;0.77;0.96;0.28;0.0
FR0011040500;Technology;Software - Application;https://www.axway.com/;Axway Software SA;27.2;9.87;2.76;1.67;0.6;0.07
NO0012861683;;;https://twitter.com/YahooFinance;;4.2;0;0;0;0.24;0.0
BE0974400328;Basic Materials;Specialty Chemicals;https://www.azelis.com/;Azelis Group NV;19.06;17.04;1.12;1.01;0.51;0.0
NL00150006Z9;Communication Services;Electronic Gaming & Multimedia;https://www.azerion.com/;Azerion Group N.V.;1.192;6.75;0.18;0.19;0.14;0.0
NL00150007A0;;;https://twitter.com/YahooFinance;;0.0005;0;0;0;0.14;0.0
IT0003261697;Financial Services;Asset Management;https://www.azimut-group.com/;Azimut Holding S.p.A.;24.15;69.3;0.35;0.35;0.16;0.24
PTAZR0AM0006;Industrials;Specialty Industrial Machinery;https://azorean.eu/;Azorean Aquatic Technologies, S.A.;0.11;0;0;0;0;0.0
IT0001268561;Technology;Consumer Electronics;https://www.bcspeakers.com/;B&C Speakers S.p.A.;16.6;7.96;2.09;1.58;0.56;0.18
LU1789205884;Consumer Defensive;Food Distribution;https://www.bs-group-sa.com/;B&S Group S.A.;4.38;10.29;0.43;0.25;0.25;0.0
PTBCP0AM0015;Financial Services;Banks - Regional;https://ind.millenniumbcp.pt/;Banco Comercial Português, S.A.;0.4397;0;0;0;0.07;7.57
IT0005187460;Consumer Defensive;Farm Products;https://www.bfspa.it/;B.F. S.p.A.;4.08;7.05;0.58;0.45;0.36;0.0
NO0010633951;Financial Services;Credit Services;https://www.b2-impact.com/;B2 Impact ASA;9.94;42.63;0.23;0.34;0.35;0.0
FR0013384369;Basic Materials;Chemicals;https://www.baikowski.com/;Baikowski SA;13.6;15.94;0.85;0.95;0.72;0.0
MC0000031187;Consumer Cyclical;Resorts & Casinos;https://www.montecarlosbm.com/;Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco;103.0;85.18;1.21;2.97;0.76;0.0
NO0010810476;Real Estate;Real Estate Services;https://www.balticsea.no/;Baltic Sea Properties AS;50.0;157.33;0.32;0.5;0.43;0.0
FR0013258399;Industrials;Specialty Industrial Machinery;https://www.balyo.com/;Balyo SA;0.266;0.17;1.56;0.95;0.17;0.0
NL0000337319;Industrials;Engineering & Construction;https://www.bam.com/;Koninklijke BAM Groep nv;4.24;13.4;0.32;0.2;0.23;0.62
IT0001031084;Financial Services;Banks - Regional;https://www.bancagenerali.com/;Banca Generali S.p.A.;44.66;137.0;0.33;0.36;0.09;0.11
IT0003188064;Financial Services;Banks - Regional;https://www.bancaifis.it/;Banca IFIS S.p.A.;20.9;246.62;0.08;0.1;0.14;0.22
IT0004776628;Financial Services;Banks - Regional;https://www.bancamediolanum.it/;Banca Mediolanum S.p.A.;11.41;113.05;0.1;0.11;0.05;0.45
IT0005508921;Financial Services;Banks - Regional;https://www.gruppomps.it/;Banca Monte dei Paschi di Siena S.p.A.;6.372;0;0;0;0.1;0.79
IT0003173629;Financial Services;Banks - Regional;https://www.bancasistema.it/;Banca Sistema S.p.A.;1.452;59.1;0.02;0.03;0.06;0.0
IT0005218380;Financial Services;Banks - Regional;https://www.bancobpm.it/;Banco BPM S.p.A.;7.51;0;0;0;0.07;0.68
ES0113860A34;Financial Services;Banks - Diversified;https://www.grupbancsabadell.com/;Banco de Sabadell, S.A.;1.897;0;0;0;0.06;2.92
