Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0010481960;;;;Argan SA;62,7;162,08;0,39;0,71;0,5;0,05
NL0010832176;;;;argenx SE;592;77,84;7,61;7,38;0,89;0
NO0010946593;;;;Argeo ASA;8,67;2,1;4,13;4,98;0,44;0
NL0015000N33;;;;Ariston Holding N.V.;3,778;19,64;0,19;0,12;0,39;0
FR0010313833;;;;Arkema S.A.;76,05;122,71;0,62;0,46;0,49;0,04
NO0012861667;;;;Arribatec Group ASA;0,375;1,02;0,37;0,26;0,49;0
FR0012185536;;;;Artea SA;9;81,93;0,11;0,1;0,2;0
IT0005386369;;;;ARTERRA BIOSCIENCE;1,95;1,92;1,02;1,34;1,21;0
FR0000074783;;;;Artmarket.com;3,68;4,59;0,8;0,96;0,73;0
FR0000076952;;;;Société Industrielle et Financière de l'Artois Société anonyme;9650;0;0;0;0,94;0
FR001400JWR8;;;;Arverne Group S.A.;3,96;0;0;0;0;0
BE0003856730;;;;Ascencio SA;46,5;118,22;0,39;0,87;0,57;0,17
IT0004093263;;;;Ascopiave S.p.A.;2,74;3,07;0,89;0,78;0,59;1,97
FR0012968485;;;;;1,6;0;0;0;0;0
IT0005337123;;;;Askoll EVA SpA;0,1355;0;0;0;0;0
NL0000334118;;;;ASM International NV;508,4;73,14;6,95;7,4;0,73;0
NL0010273215;;;;ASML Holding N.V.;679,2;92,89;7,31;5,29;0,39;0
NL0011872643;;;;ASR Nederland N.V.;46,73;711,46;0,07;0,07;0,06;0,12
FR0000074148;;;;Assystem S.A.;36,7;44,77;0,82;0,84;0,52;0,13
FR0010478248;;;;Atari SA;0,121;0,27;0,45;0,67;0,09;0
NO0004822503;;;;Atea ASA;140,6;116,11;1,21;0,76;0,26;0,03
FR0011992700;;;;ATEME SA;5,4;7,02;0,77;0,47;0,42;0
BE0003837540;;;;Atenor SA;3,69;30,59;0,12;0,08;0,27;2,03
FR0013455482;;;;Atland SAS;42,8;100,72;0,42;0,27;0,3;0,1
NO0010768500;;;;Atlantic Sapphire ASA;0,0881;0;0;0;0,83;0
IT0005449464;;;;ATON Green Storage S.p.A.;1,76;8,49;0,21;0,13;0,38;0
FR0000051732;;;;Atos SE;0,1778;0;0;0;0,01;9
FR0000063737;;;;Aubay Société Anonyme;44,4;24,91;1,78;1,18;0,65;0,05
FR00140059B5;;;;Audacia SA;3,62;4,54;0,8;0,7;0,6;0
FR0000061780;;;;Augros Cosmetic Packaging SA;7,2;0;0;0;0;0
DE000A2DAM03;;;;Aumann AG;10,26;19,83;0,52;0,37;0,91;0
FR0000039232;;;;Aurea SA;5;21,48;0,23;0,18;0,4;0,4
FR0013183589;;;;AURES Technologies S.A.;6,25;15,48;0,4;0,25;0,36;0,4
NO0011032310;;;;Aurora Eiendom AS;82;289,93;0,28;0,48;0,44;0
NO0006001601;;;;Aurskog Sparebank;231,95;4122,06;0,06;0,06;0,12;0,02
NO0010073489;;;;Austevoll Seafood ASA;101,9;202,77;0,5;0,35;0,3;0,04
IT0000084043;;;;Autostrade Meridionali S.p.A.;2,575;13,6;0,19;0,17;1,61;1,27
NL0012047823;;;;Avantium N.V.;1,872;2,84;0,66;0,63;0,24;0
FR001400CFI7;;;;Avenir Telecom S.A.;0,0711;0,43;0,17;0,11;1,2;0
IT0005119810;;;;Avio S.p.A.;13,48;34,27;0,39;0,27;0,31;0
NO0012785098;;;;Awilco Drilling PLC;22,1;0,08;276,25;-170;129,63;1,31
NO0010607971;;;;Awilco LNG ASA;4,12;2,56;1,61;2,31;0,4;0
FR0000120628;;;;AXA SA;33,65;0;0;0;0,07;0,16
NO0010840515;;;;Axactor ASA;3,42;4,57;0,75;0,93;0,28;0
FR0011040500;;;;Axway Software SA;27,3;9,87;2,77;1,67;0,6;0,07
NO0012861683;;;;;4,15;0;0;0;0,24;0
BE0974400328;;;;Azelis Group NV;18,39;17,04;1,08;0,98;0,51;0
NL00150006Z9;;;;Azerion Group N.V.;1,182;6,75;0,18;0,19;0,14;0
NL00150007A0;;;;;0,0005;0;0;0;0,14;0
IT0003261697;;;;Azimut Holding S.p.A.;24,09;69,3;0,35;0,35;0,16;0,24
PTAZR0AM0006;;;;Azorean Aquatic Technologies, S.A.;0,119;0;0;0;0;0
IT0001268561;;;;B&C Speakers S.p.A.;16,7;7,96;2,1;1,59;0,56;0,18
LU1789205884;;;;B&S Group S.A.;4,305;10,29;0,42;0,25;0,25;0
PTBCP0AM0015;;;;Banco Comercial Português, S.A.;0,4531;0;0;0;0,07;7,35
IT0005187460;;;;B.F. S.p.A.;4,1;7,05;0,58;0,45;0,36;0
NO0010633951;;;;B2 Impact ASA;9,89;42,63;0,23;0,34;0,35;0
FR0013384369;;;;Baikowski SA;13,6;15,94;0,85;0,95;0,72;0
MC0000031187;;;;Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco;103,5;85,18;1,22;2,98;0,76;0
NO0010810476;;;;Baltic Sea Properties AS;50;157,33;0,32;0,5;0,43;0
FR0013258399;;;;Balyo SA;0,2705;0,17;1,59;0,97;0,17;0
NL0000337319;;;;Koninklijke BAM Groep nv;4,264;13,4;0,32;0,21;0,23;0,62
IT0001031084;;;;Banca Generali S.p.A.;44,6;137;0,33;0,36;0,09;0,11
IT0003188064;;;;Banca IFIS S.p.A.;21,16;246,62;0,09;0,1;0,14;0,22
IT0004776628;;;;Banca Mediolanum S.p.A.;11,42;113,05;0,1;0,11;0,05;0,45
IT0005508921;;;;Banca Monte dei Paschi di Siena S.p.A.;6,384;0;0;0;0,1;0,79
IT0003173629;;;;Banca Sistema S.p.A.;1,47;59,1;0,02;0,03;0,06;0
IT0005218380;;;;Banco BPM S.p.A.;7,482;0;0;0;0,07;0,68
ES0113860A34;;;;Banco de Sabadell, S.A.;1,925;0;0;0;0,07;2,88
ES0113900J37;;;;Banco Santander, S.A.;4,68;0;0;0;0,06;1,09
BE0003870871;;;;Banimmo SA;2,94;13,57;0,22;0,24;0,48;1,52
IE00BD1RP616;;;;Bank of Ireland Group plc;8,558;0;0;0;0,08;1,61
FR0000062788;;;;Barbara Bui SA;5,9;0;0;0;0,14;0
BE0974362940;;;;Barco NV;10,64;11,76;0,9;0,84;0,75;0,21
DE000BASF111;;;;BASF SE;43,615;75,8;0,58;0,51;0,44;0,15
NL0011872650;;;;Basic-Fit N.V.;21,38;45,24;0,47;0,47;0,13;0
IT0001033700;;;;BasicNet S.p.A.;7,4;7,29;1,02;0,65;0,36;0,38
BE0003674851;;;;Basilix Cert;27,8;0;0;0;0;0,88
FR0004023208;;;;BASSAC Société anonyme;40,1;126,39;0,32;0,2;0,4;0,12
FR0000035370;;;;Bastide Le Confort Médical SA;20,95;96,44;0,22;0,2;0,13;0,04
IT0004412497;;;;Bastogi S.p.A.;0,396;2,81;0,14;0,11;0,09;0
DE000BAY0017;;;;Bayer Aktiengesellschaft;19,5;97,8;0,2;0,17;0,29;0,21
ES0113211835;;;;Banco Bilbao Vizcaya Argentaria, S.A.;9,632;0;0;0;0,07;0,57
IT0000784196;;;;Banca Popolare di Sondrio S.p.A;8,05;125,98;0,06;0,07;0,07;0,28
IT0001073045;;;;Banca Profilo S.p.A.;0,181;3,86;0,05;0,05;0,07;10,5
IT0001041000;;;;Banco di Desio e della Brianza S.p.A.;5,96;134,94;0,04;0,05;0,08;0,66
FR0000035305;;;;BD Multimedia SA;1,04;1,35;0,77;0,59;0,46;0
NL0012866412;;;;BE Semiconductor Industries N.V.;122,05;12,93;9,44;5,85;0,4;0,03
NO0013017574;;;;Beerenberg AS;3,45;50,51;0,07;0,04;0,44;0
IT0001487047;;;;Beewize S.p.A.;0,565;1,11;0,51;0,86;0,33;0
IT0001223277;;;;Beghelli S.p.A.;0,235;0,93;0,25;0,19;0,35;16,43
DE0005200000;;;;Beiersdorf Aktiengesellschaft;121,95;51,93;2,35;2,64;0,72;0,01
BE0974258874;;;;NV Bekaert SA;33,54;73,73;0,45;0,42;0,52;0,1
FR0014003FE9;;;;Believe S.A.;14,6;8,25;1,77;1,13;0,42;0
IT0005497042;;;;Bellini Nautica S.p.A.;2,98;2,22;1,34;0,88;0,48;0
NO0003094104;;;;Belships ASA;17,46;3,47;5,03;5,6;0,32;0
BE0974314461;;;;Belysse Group NV;0,685;7,8;0,09;0,07;0,27;0
GB00BGHPT808;;;;Benchmark Holdings plc;37,05;0,3;123,5;92,62;0,61;0
FR0000035164;;;;Bénéteau S.A.;8,09;23,39;0,35;0,25;0,41;0,22
LU2355630455;;;;;0,646;0;0;0;0;0
PTSLB0AM0010;;;;Sport Lisboa e Benfica - Futebol, SAD;3,3;25,93;0,13;0,13;0,15;0
NO0010950249;;;;Bergen Carbon Solutions AS;3,785;5,17;0,73;0,77;0,9;0
NO0010650013;;;;BerGenBio ASA;10,244;4,98;2,06;1,7;0,79;0
FR0000066961;;;;Bernard Loiseau S.A.;3,22;6,81;0,47;0,4;0,24;0
IT0004942915;;;;BESTBE HOLDING;0,306;3,38;0,09;0,05;0,19;0
NL0000285278;;;;Bever Holding NV;2,7;5,62;0,48;0,93;1,22;0
NO0010890965;;;;BEWi ASA;24,75;4,49;5,51;3,9;0,31;0
IT0005244402;;;;BFF Bank S.p.A.;9,095;64,92;0,14;0,15;0,07;0
IT0004222102;;;;Bialetti Industrie S.p.A;0,176;1,04;0,17;0,13;0,14;0
FR0000120966;;;;Société BIC SA;62,3;54,88;1,14;1,12;0,76;0,07
NO0012706763;;;;Bien Sparebank ASA;124;945,53;0,13;0,15;0,13;0
IT0003097257;;;;Biesse S.p.A.;7,61;20,91;0,36;0,24;0,37;0,32
IT0005495335;;;;BIFIRE S.p.A.;2,42;3,15;0,77;0,86;0,69;0
FR0000074072;;;;BigBen Interactive;1,39;33,72;0,04;0,04;0,34;0
FR0004174233;;;;Bilendi SA;13;10,23;1,27;0,73;0,52;0
FR0013345493;;;;;1,672;0;0;0;0;0
IT0005516130;;;;Bioera S.p.A.;0,0394;0,21;0,19;-0,08;3,93;0
NO0010955198;;;;BioFish Holding AS;1,12;2,64;0,42;0,97;0,71;0
FR0013280286;;;;bioMérieux S.A.;97,65;34,55;2,83;3,14;0,75;0,01
FR001400OLP5;;;;Institut Biophytis SAS;0,3071;1,99;0,15;0,13;0,42;0
BE0974280126;;;;BioSenic S.A.;0,0057;0,05;0,11;-0,14;2,37;0
FR0011005933;;;;Biosynex SA;1,66;11,57;0,14;0,09;0,56;0
BE0974386188;;;;Biotalys NV;2,86;0,96;2,98;2,98;0,88;0
DE000A1TNV91;;;;Bitcoin Group SE;57;15,65;3,64;4,67;0,78;0
NO0010755101;;;;Black Sea Property AS;0,12;1,27;0,09;0,14;0,33;0
FR0000062150;;;;Bleecker Société Anonyme;125;653,64;0,19;0,3;0,41;0,02
FR0013340973;;;;Blue Shark Power System;7,9;0;0;0;0;0
FR0011041011;;;;Bluelinea Société Anonyme;0,9;1,05;0,86;0,91;0,15;0
NO0010379266;;;;BlueNord ASA;588;123,68;4,75;5,21;0,23;0
DE0005190003;;;;Bayerische Motoren Werke Aktiengesellschaft;74,98;429,15;0,17;0,16;0,35;0,08
DE0005190037;;;;Bayerische Motoren Werke Aktiengesellschaft;69,5;4110,91;0,02;0,02;0,35;0,09
FR0000131104;;;;BNP Paribas SA;57,97;0;0;0;0,05;0,09
FR0011365907;;;;;16,65;0;0;0;0;0
FR0010106039;;;;Body One SA;0,32;0;0;0;0;0
FR0000061129;;;;Boiron SA;27,5;27,35;1,01;0,98;0,7;0,11
FR0000039299;;;;Bolloré SE;5,875;0;0;0;0,38;0,23
FR0000063935;;;;Bonduelle SCA;6,23;50,84;0,12;0,08;0,33;0,43
NO0003110603;;;;Bonheur ASA;271;548,97;0,49;0,44;0,31;0,01
BE6333353298;;;;bonyf N.V.;18,4;0;0;0;0;0
FR001400OS22;;;;Boostheat SA;0,24;0;0;0;0;0
NO0003111700;;;;Borgestad ASA;17,3;40,16;0,43;0,45;0,48;0
IT0003217335;;;;Borgosesia S.p.A.;0,528;3,77;0,14;0,09;0,3;0
NO0010657505;;;;Borregaard ASA;184,8;91,9;2,01;2,55;0,55;0,01
FR0000054421;;;;Bourrelier Group SA;45;87,07;0,52;0,52;0,65;0,06
FR0000074254;;;;Bourse Direct Société Anonyme;4,2;24,82;0,17;0,18;0,06;0,42
NO0010360266;;;;Bouvet ASA;72;15,44;4,66;3,05;0,26;0,05
FR0000120503;;;;Bouygues SA;28,6;142,02;0,2;0,14;0,19;0,17
IT0000066123;;;;BPER Banca SpA;6,062;0;0;0;0,08;0,53
BE0974268972;;;;bpost NV/SA;1,928;25,6;0,08;0,07;0,2;4,6
BE0003008019;;;;Banque nationale de Belgique SA;381;0;0;0;0;0,02
LU1068091351;;;;Brederode SA;103,6;128,56;0,81;3453,33;1;0,01
NL0015001KT6;;;;Brembo N.V.;9,078;12,79;0,71;0,7;0,5;0,2
DE000A1DAHH0;;;;Brenntag SE;60,78;51,68;1,18;0,73;0,39;0,04
IT0000066180;;;;Brioschi Sviluppo Immobiliare S.p.A.;0,0498;0,29;0,17;0,21;0,46;0
FR001400AJZ7;;;;Broadpeak Société anonyme;0,95;2,91;0,33;0,2;0,51;0
NL0010776944;;;;Brunel International N.V.;8,92;11,02;0,81;0,55;0,48;0,35
IT0004764699;;;;Brunello Cucinelli S.p.A.;95,8;22,36;4,28;3,91;0,28;0,01
FR0006174348;;;;Bureau Veritas SA;29,52;11,73;2,52;1,69;0,33;0,09
FR0000061137;;;;Burelle SA;313;3970,04;0,08;0,06;0,21;0,01
IT0001347308;;;;Buzzi S.p.A.;39,64;41,85;0,95;1,36;0,82;0,04
NO0003087603;;;;Byggma ASA;15,65;44,14;0,35;0,39;0,36;0,46
IT0003023980;;;;Centrale del Latte d'Italia S.p.A.;2,82;19,15;0,15;0,11;0,26;0,58
FR0000045544;;;;Caisse Regionale de Credit Agricole Mutuel Toulouse 31;69;3504,02;0,02;0,02;0,12;0,06
FR001400DIY6;;;;Cabasse Société anonyme;0,656;0;0;0;0;0
NL00150000S7;;;;Cabka N.V.;2,38;7,23;0,33;0,31;0,41;0
NL00150000U3;;;;;0,0035;0;0;0;0,41;0
NL00150000V1;;;;;0,0145;0;0;0;0,41;0
DK0061412772;;;;Cadeler A/S;68,9;5,16;13,35;27,45;0,62;0
FR0010151589;;;;Centrale d'Achat Française pour l'Outre-Mer Société Anonyme;7,96;39,88;0,2;0,16;0,31;0
IE00BWY4ZF18;;;;Cairn Homes plc;179,8;1,67;107,66;85,21;0,73;0
IT0004329733;;;;Cairo Communication S.p.A.;2,51;8,77;0,29;0,46;0,42;1,77
ES0140609019;;;;CaixaBank, S.A.;5,398;0;0;0;0,06;0,82
IT0003025019;;;;Caleffi S.p.A.;0,746;3,46;0,22;0,16;0,44;0
IT0003127930;;;;Caltagirone SpA;6,26;26,82;0,23;0,21;0,37;0,38
IT0001472171;;;;Caltagirone Editore SpA;1,42;4,15;0,34;0,86;0,81;3,02
NO0010078850;;;;Cambi ASA;14,5;4,68;3,1;2,34;0,61;0
NL0015435975;;;;Davide Campari-Milano N.V.;6,106;0;0;0;0,48;0,1
BE0003825420;;;;Campine NV;97;83,2;1,17;0,99;0,55;0,05
BE0974298300;;;;Candela Invest SA;1,2;6,15;0,2;0,11;0,35;0
FR0000125338;;;;Capgemini SE;155;94,74;1,64;1,08;0,44;0,01
