Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0010285965;;;;1000mercis;29,8;42,59;0,7;0,47;0,2;0,07
FR0013341781;;;;2CRSI S.A.;3,94;2,78;1,42;0,99;0,49;0
IT0005204729;;;;4AIM SICAF S.p.A.;120;0;0;0;1;0
IT0005440323;;;;4AIM SICAF COMPARTO 2 CROWDFUND;182;0;0;0;0;0
DK0060945467;;;;5th Planet Games A/S;1,205;0,25;4,82;6,69;1,26;0
IT0005439861;;;;Azienda Bresciana Petroli Nocivelli S.p.A.;5,25;2,92;1,8;1,41;0,74;0
IT0001233417;;;;A2A S.p.A.;2,212;0;0;0;0,23;2,5
NL0000852564;;;;Aalberts N.V.;37,32;24,34;1,53;1,33;0,61;0,06
NO0010672181;;;;Aasen Sparebank;118,62;3922,18;0,03;0,03;0,12;0,05
IT0005548521;;;;AATECH S.p.A. Società Benefit;0,63;0;0;0;0;0
BE0974293251;;;;Anheuser-Busch InBev SA/NV;50,48;0;0;0;0,38;0,03
FR0010557264;;;;AB Science S.A.;0,792;0,42;1,89;2,14;0,94;0
FR0004040608;;;;ABC arbitrage SA;4,68;2,9;1,61;16,71;0,95;1,29
IT0005466294;;;;ABC Company S.p.A.;3,7;2,87;1,29;1,84;0,71;0
FR0013185857;;;;Abéo SA;10,15;29,12;0,35;0,26;0,37;0
NO0003021909;;;;ABG Sundal Collier Holding ASA;6,79;11,19;0,61;0,34;0,15;1,53
FR0012616852;;;;ABIONYX Pharma SA;1,252;0,27;4,64;3,13;0,74;0
IT0005445280;;;;Abitare In S.p.A.;4,26;11,5;0,37;0,24;0,35;0
FR0012333284;;;;ABIVAX Société Anonyme;7,91;4,77;1,66;1,2;2,1;0
FR001400AHX6;;;;ABL Diagnostics Société anonyme;2,86;0,77;3,71;2,33;0,45;0
NO0010715394;;;;ABL Group ASA;9,62;1,03;9,34;5,87;0,52;0
NL0011540547;;;;ABN AMRO Bank N.V.;15,045;484,69;0,03;0,03;0,06;0
BE0974278104;;;;ABO-Group Environment NV;5,05;7,46;0,68;0,49;0,33;0
FR0000064602;;;;Acanthe Developpement;0,322;0,83;0,39;1,4;0,91;102,17
BE0003696102;;;;Accentis N.V.;0,027;0;0;0;0,65;0
FR0000120404;;;;Accor SA;46,1;28,32;1,63;1,23;0,46;0,05
GB00BQQFX454;;;;Accsys Technologies PLC;46,95;0,83;56,57;69,04;0,57;0
IT0001207098;;;;ACEA S.p.A.;18,27;56,54;0,32;0,32;0,2;0,29
FR001400JAP8;;;;Acheter-Louer.Fr SA;0,4;0;0;0;0,29;0
IT0001382024;;;;Acinque S.p.A.;2,07;2,71;0,76;0,55;0,52;1,89
BE0003764785;;;;Ackermans & Van Haaren NV;188,8;567,38;0,33;0,3;0,3;0,01
NL0000313286;;;;Acomo N.V.;17,68;18,41;0,96;0,64;0,54;0,27
IT0005443061;;;;Acquazzurra S.p.A.;9,4;3,85;2,44;1,52;0,41;0
ES0167050915;;;;ACS, Actividades de Construcción y Servicios, S.A.;48,02;134,9;0,36;0,22;0,15;0,13
FR0000076861;;;;Acteos SA;1,065;5,49;0,19;0,14;0,04;0
FR0000076655;;;;ACTIA Group S.A.;2,55;26,51;0,1;0,06;0,24;0,84
FR0014005OJ5;;;;Acticor Biotech SAS;0,271;0,63;0,43;0,31;0,55;0
FR0010979377;;;;Activium Group SAS;1,38;0;0;0;0;0
BE0974269012;;;;Alliance Developpement Capital SIIC;0,074;0,54;0,14;0,34;0,71;0
FR0013284627;;;;Adeunis Société anonyme;0,696;2,75;0,25;0,18;0,16;0
DE000A1EWWW0;;;;adidas AG;239,2;100,59;2,38;1,67;0,26;0,01
LU1250154413;;;;Adler Group S.A.;0,3405;51,83;0,01;0,01;0,03;0
FR0011184241;;;;Adocia SA;6,89;1,62;4,25;2,78;0,43;0
FR001400JAL7;;;;Adomos S.A.;0,0002;0;0;0;0;0
FR0010340141;;;;Aeroports de Paris SA;114,2;160,66;0,71;0,79;0,27;0,02
FR0012821890;;;;ADUX;1,32;5,94;0,22;0,13;0,04;0
FR0013296746;;;;;2,015;0;0;0;0;0
FR0000053043;;;;AdVini S.A.;14;90,42;0,15;0,11;0,2;0,09
NL0012969182;;;;Adyen N.V.;1477,6;303,67;4,87;3,01;2,34;0
IT0005349052;;;;Aedes Spa;0,167;0,27;0,62;0,62;0,91;46,29
BE0003851681;;;;Aedifica NV/SA;56,65;132,28;0,43;0,92;0,56;0,07
IT0001384590;;;;Aeffe S.p.A.;0,828;4,35;0,19;0,13;0,26;0
NO0012958539;;;;Aega ASA;0,341;0,02;17,05;11,37;0,74;0
BMG0112X1056;;;;Aegon Ltd.;6,2;0;0;0;0,03;0,8
FR0014007ZB4;;;;Aelis Farma SA;2,66;1,92;1,39;0,95;0,5;0
ES0105046009;;;;Aena S.M.E., S.A.;205,2;106,42;1,93;2,38;0,44;0
IT0001006128;;;;Aeroporto Guglielmo Marconi di Bologna S.p.A.;7,6;4,48;1,7;1,36;0,62;0
NO0003078107;;;;AF Gruppen ASA;144,6;144,75;1;0,77;0,14;0,04
FR001400FL38;;;;;0,01;0;0;0;0,57;0
FR0013333077;;;;Affluent Medical SA;1,295;1,09;1,19;1,64;0,57;0
FR0014005AC9;;;;AFYREN SAS;2,13;2,59;0,82;0,93;0,96;0
BE0974264930;;;;ageas SA/NV;47,82;521,77;0,09;0,1;0,08;0,15
FR0014005WE9;;;;L Agence Automobiliere;0,58;0;0;0;0;0
BE0003755692;;;;Agfa-Gevaert NV;0,783;7,4;0,11;0,07;0,26;8,76
NO0010872468;;;;Agilyx ASA;34,2;1,16;29,48;201,18;0,95;0
FR0013452281;;;;Agripower France Société Anonyme;0,884;3,66;0,24;0,19;0,52;0
FR0010641449;;;;AgroGeneration, SA;0,0476;0,14;0,34;0,34;0,42;0
NL0011794037;;;;Koninklijke Ahold Delhaize N.V.;33,25;37,68;0,88;0,68;0,3;0,11
IE00BF0L3536;;;;AIB Group plc;5,405;0;0;0;0,11;2,55
FR001400J770;;;;Air France-KLM SA;7,612;151,15;0,05;0,04;-0,05;0,29
FR0000120073;;;;L'Air Liquide S.A.;161,66;56,36;2,87;2,94;0,5;0,01
NL0000235190;;;;Airbus SE;153,54;135,43;1,13;0,71;0,16;0,01
NO0010895568;;;;;0,187;0;0;0;0;0
FR0014003V77;;;;Groupe Airwell Société anonyme;1,4;5,94;0,24;0,12;0,1;0
DE000A0WMPJ6;;;;AIXTRON SE;14,385;8,21;1,75;1,86;0,79;0,14
NL0000018034;;;;AFC Ajax NV;10;23,29;0,43;0,34;0,41;0
NO0010215684;;;;Akastor ASA;13,1;23,58;0,56;2,37;0,86;0,46
NO0010234552;;;;Aker ASA;584;1133,36;0,52;0,71;0,51;0,01
NO0010886625;;;;Aker BioMarine AS;60,8;3,46;17,57;12,04;0,46;0
NO0010345853;;;;Aker BP ASA;228,5;49,92;4,58;4,12;0,3;0,03
NO0010890304;;;;Aker Carbon Capture ASA;6,235;9,53;0,65;0,79;0,96;0
NO0010921232;;;;Aker Horizons ASA;2,07;36,74;0,06;0,04;0,09;0
NO0010716582;;;;Aker Solutions ASA;34,98;79,25;0,44;0,36;0,5;0
SE0015193412;;;;Akobo Minerals AB (publ);1,995;1,32;1,51;2,46;0,46;0
NO0003097503;;;;AKVA group ASA;68,6;82,92;0,83;0,6;0,32;0,03
FR0000053027;;;;Akwel SA;7,9;31,91;0,25;0,25;0,69;0,27
NL0013267909;;;;Akzo Nobel N.V.;58,7;66,39;0,88;0,56;0,3;0,04
IT0005446700;;;;;23;15,05;1,53;0,88;0,37;0
IT0004720733;;;;Alerion Clean Power S.p.A.;18,24;21,85;0,83;0,61;0,22;0,11
NL0012817175;;;;Alfen N.V.;11,545;16,91;0,68;0,47;0,45;0
IT0005244030;;;;Alfio Bardolla Training Group S.p.A.;2,48;1,36;1,82;1,01;0,43;0
IT0005466039;;;;ALFONSINO;0,381;0,45;0,85;0,66;0,14;0
FR001400IV58;;;;AVENTADOR;0,0008;0;0;0;0,3;0
IT0005314635;;;;Alkemy S.p.A.;11,6;0;0;0;0;0
IT0005461303;;;;Soluzione Tasse S.p.A.;1,5;1,83;0,82;0,64;0,49;0
GB00BNTJ3546;;;;Allfunds Group plc;5,68;5,3;1,07;0,55;0,68;0
DE0008404005;;;;Allianz SE;304,6;2609,06;0,12;0,12;0,06;0,02
IT0005434615;;;;Almawave S.p.A.;2,41;2,19;1,1;0,64;0,64;0
NL0010696704;;;;Almunda Professionals N.V.;1,19;23,6;0,05;0,05;0,37;0
FR0000053324;;;;Compagnie des Alpes SA;14,86;42,27;0,35;0,42;0,41;0,16
FR0013421286;;;;Neotion SA;0,497;0,33;1,51;16,57;1,3;0
FR0010220475;;;;Alstom SA;21,59;59,09;0,37;0,24;0,27;0,13
FR0000053837;;;;Altamir SCA;22,7;0;0;0;0,93;0
FR0000033219;;;;Altarea SCA;94,4;363,98;0,26;0,21;0,21;0,09
FR0000039216;;;;Altareit SCA;470;1950,4;0,24;0,14;0,21;0
IT0005472730;;;;Altea Green Power S.p.A.;6,78;2,21;3,07;2,09;0,46;0
FR0000071946;;;;Alten S.A.;80,2;65,31;1,23;0,85;0,66;0,02
IE00BLRPRP89;;;;Alternus Energy Group Plc;0,4;8,46;0,05;0,06;0,22;0
FR0000061244;;;;Altheora SA;0,337;2,68;0,13;0,11;0,36;0
PTALT0AE0002;;;;Altri, SGPS, S.A.;5,13;5,05;1,02;0,77;0,34;1,27
NL0012194724;;;;Alumexx N.V.;1,27;3,32;0,38;0,35;0,1;0
FR0013253812;;;;Alveen S.A.;0,1;0;0;0;0;0
GB00BNKGZC51;;;;AMA Corporation Plc;0,154;0,24;0,64;0,45;1,7;0
DE0005093108;;;;Amadeus FiRe AG;79,2;42,63;1,86;1,7;0,44;0,06
ES0109067019;;;;Amadeus IT Group, S.A.;70,04;23,2;3,02;3,26;0,41;0,02
NL0010273694;;;;Amatheon Agri Holding N.V.;0,021;0;0;0;0;0
IT0004779515;;;;Ambromobiliare S.p.A.;1,12;0,84;1,33;0,94;0,76;0
NL0000888691;;;;AMG Critical Materials N.V.;14,72;62,25;0,24;0,19;0,25;0,14
FR0011051598;;;;Amoéba S.A.;0,763;0,13;5,87;7,63;0,68;0
IT0004056880;;;;Amplifon S.p.A.;24,2;17,85;1,36;1,6;0,3;0,02
FR0012789667;;;;Amplitude Surgical SA;3,34;4,66;0,72;0,58;0,38;0
NO0010272065;;;;AMSC ASA;27,05;26,72;1,01;5,52;1;0,43
FR0004125920;;;;Amundi S.A.;63,45;142,13;0,45;0,42;0,32;0
NO0010829765;;;;Andfjord Salmon Group AS;42;26,19;1,6;3,49;0,72;0
IT0004998065;;;;Anima Holding SpA;6,41;3,57;1,8;1,22;0,67;0,9
IT0005366601;;;;Antares Vision S.p.A.;3,22;4,02;0,8;0,5;0,43;0
FR0014005AL0;;;;Antin Infrastructure Partners SAS;11;3,45;3,19;3,29;0,86;0
LU0569974404;;;;Aperam S.A.;27,94;62,88;0,44;0,57;0,68;0,22
NO0010307135;;;;Aqua Bio Technology ASA;1,8;2,12;0,85;0,98;0,36;0
IT0005241192;;;;Aquafil S.p.A.;1,338;12,8;0,1;0,07;0,19;0
FR0010340711;;;;Aquila SA;2,92;6,1;0,48;0,31;0,36;2,59
GB00BK6RLF66;;;;Aquila European Renewables Plc;0,67;0;0;0;1;0
NO0010778095;;;;Aquila Holdings ASA;0,66;0,05;13,2;22;0,88;0
FR0014003U94;;;;Aramis Group SAS;7,88;5,87;1,34;0,86;0,31;0
NL0006237562;;;;Arcadis NV;63,4;35,26;1,8;1,26;0,3;0,05
LU1598757687;;;;ArcelorMittal S.A.;24,03;113,66;0,21;0,26;0,57;0,13
FR001400KO61;;;;Archos S.A.;0,116;0;0;0;0;0
NO0010859580;;;;Arctic Bioscience AS;2;6,29;0,32;0,29;0,86;0
NO0010917719;;;;Arctic Fish Holding AS;67;7,11;9,42;8,92;0,39;0
NO0010014632;;;;ArcticZymes Technologies ASA;13,3;6,04;2,2;2,24;0,93;0
FR0013398997;;;;Arcure S.A.;4,48;2,34;1,91;1,03;0,45;0
NO0003572802;;;;Arendals Fossekompani ASA;140,6;118;1,19;0,78;0,33;0,01
