Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0010106039;Consumer Cyclical;Apparel Manufacturing;https://www.bodyone.fr/;Body One SA;0,308;0;0;0;0;0
FR0000061129;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.boiron.fr/;Boiron SA;29,8;27,1;1,1;5,91;0,76;0,1
FR0000039299;Communication Services;Entertainment;https://www.bollore.com/;Bolloré SE;5,665;16,58;0,34;-1,95;0,4;0,25
FR001400OUH3;;;https://www.bollore.com/;Bolloré SE;6,1;0;0;0;0;0
FR0000063935;Consumer Defensive;Packaged Foods;https://www.bonduelle.com/;Bonduelle SCA;6,32;48,54;0,13;-0,94;0,39;0,4
NO0003110603;Industrials;Conglomerates;https://www.bonheur.no/;Bonheur ASA;239,5;577,98;0,41;-1,58;0,39;0,01
BE6333353298;Healthcare;Medical Instruments & Supplies;https://www.bonyf.com/;bonyf N.V.;15,5;0;0;0;0;0
FR001400OS22;Technology;Consumer Electronics;https://www.boostheat-group.com/;Boostheat SA;1,59;0;0;0;0;0
NO0003111700;Industrials;Building Products & Equipment;https://borgestad.no/;Borgestad ASA;15,398;37,4;0,41;-2,71;0,54;0
IT0003217335;Consumer Cyclical;Textile Manufacturing;https://www.borgosesiaspa.com/;Borgosesia S.p.A.;0,684;3,77;0,18;0,85;0,32;0
NO0010657505;Basic Materials;Specialty Chemicals;https://www.borregaard.com/;Borregaard ASA;194,4;93,06;2,09;-17,55;0,53;0,01
FR0000054421;Consumer Cyclical;Home Improvement Retail;https://www.bourrelier-group.com/;Bourrelier Group SA;44,4;87,07;0,51;2,54;0,96;0,06
FR0000074254;Financial Services;Capital Markets;https://www.boursedirect.fr/;Bourse Direct Société Anonyme;4,99;24,19;0,21;-0,22;0,06;0,32
GG00B1FQG453;;;https://www.bgholdingltd.com/;Boussard & Gavaudan Holding Limited;26,4;11,72;2,25;-377,14;0,99;0
NO0010360266;Technology;Information Technology Services;https://www.bouvet.no/;Bouvet ASA;62,9;18,09;3,48;190,61;0,37;0,05
FR0000120503;Industrials;Engineering & Construction;https://www.bouygues.com/;Bouygues SA;30,1;117,72;0,26;-0,64;0,22;0,16
IT0000066123;Financial Services;Banks - Regional;https://www.bper.it/;BPER Banca SpA;4,873;99,34;0,05;-0,05;0,07;0,61
BE0974268972;Industrials;Integrated Freight & Logistics;https://bpostgroup.com/;bpost NV/SA;3,09;20,5;0,15;-0,54;0,36;2,87
BE0003008019;Financial Services;Banks - Regional;https://www.nbb.be/;Banque nationale de Belgique SA;448;0;0;0;0;0,02
LU1068091351;Financial Services;Asset Management;https://www.brederode.eu/;Brederode SA;110,8;128,56;0,86;-3693,33;1;0,01
NL0015001KT6;Consumer Cyclical;Auto Parts;https://www.brembo.com/;Brembo N.V.;10,286;0;0;0;0;0,18
DE000A1DAHH0;Basic Materials;Specialty Chemicals;https://www.brenntag.com/;Brenntag SE;63,76;74;0,86;-1,5;0,42;0,04
IT0000066180;Real Estate;Real Estate - Development;https://www.brioschi.it/;Brioschi Sviluppo Immobiliare S.p.A.;0,058;0;0;-0,36;0;0
FR001400AJZ7;Technology;Communication Equipment;https://www.broadpeak.tv/;Broadpeak Société anonyme;2,25;2,91;0,77;5,77;0,51;0
NL0010776944;Industrials;Staffing & Employment Services;https://brunelinternational.net/;Brunel International N.V.;10,06;0;0;0;0;0,31
IT0004764699;Consumer Cyclical;Luxury Goods;https://www.brunellocucinelli.it/;Brunello Cucinelli S.p.A.;97,05;0;0;0;0;0,01
FR0006174348;Industrials;Consulting Services;https://group.bureauveritas.com/;Bureau Veritas SA;26,38;0;0;0;0;0,1
FR0000061137;Consumer Cyclical;Auto Parts;https://www.burelle.fr/;Burelle SA;368;3436,39;0,11;-0,25;0,21;0,01
IT0001347308;Basic Materials;Building Materials;https://www.buzziunicem.com/;Buzzi S.p.A.;37,22;36,6;1,02;18,33;0,81;0,04
NO0003087603;Industrials;Building Products & Equipment;https://www.byggma.no/;Byggma ASA;18,9;43,94;0,43;-1,07;0,35;0,38
IT0003023980;Consumer Defensive;Packaged Foods;https://centralelatteitalia.com/;Centrale del Latte d'Italia S.p.A.;2,9;17,31;0,17;-0,53;0,34;0,56
FR0000045544;Financial Services;Banks - Regional;https://www.credit-agricole.fr/ca-toulouse31/particulier.html;Caisse Regionale de Credit Agricole Mutuel Toulouse 31;69,6;3496,33;0,02;-0,02;0,12;0,06
FR001400DIY6;Technology;Consumer Electronics;https://www.cabasse.com/;Cabasse Société anonyme;1,75;9,63;0,18;-1,03;0,11;0
NL00150000S7;Consumer Cyclical;Packaging & Containers;https://www.cabka.com/;Cabka N.V.;3,84;7,23;0,53;-3,05;0,41;0
NL00150000U3;;;;;0,005;0;0;0;0,41;0
NL00150000V1;;;;;0,021;0;0;0;0,41;0
DK0061412772;Industrials;Engineering & Construction;https://www.cadeler.com/;Cadeler A/S;66,4;4,23;15,7;-221,33;0,87;0
FR0010151589;Consumer Cyclical;Specialty Retail;https://www.cafom.com/;Centrale d'Achat Française pour l'Outre-Mer Société Anonyme;9,34;39,66;0,24;-0,84;0,35;0
IE00BWY4ZF18;Consumer Cyclical;Residential Construction;https://www.cairnhomes.com/;Cairn Homes plc;139,4;1,61;86,58;121,22;0,75;0
IT0004329733;Communication Services;Advertising Agencies;https://www.cairocommunication.it/;Cairo Communication S.p.A.;2,075;0;0;0;0;2,14
ES0140609019;Financial Services;Banks - Regional;https://www.caixabank.com/;CaixaBank, S.A.;4,933;84,38;0,06;-0,06;0,06;0,88
IT0003025019;Consumer Cyclical;Textile Manufacturing;https://www.caleffigroup.it/;Caleffi S.p.A.;0,87;3,44;0,25;1,3;0,45;0
IT0003127930;Basic Materials;Building Materials;https://www.caltagironespa.it/;Caltagirone SpA;5,76;26,82;0,21;-3,29;0,4;0,41
IT0001472171;Communication Services;Publishing;https://www.caltagironeeditore.com/;Caltagirone Editore SpA;1,355;4,15;0,33;-6,16;0,87;3,17
NO0010078850;Industrials;Waste Management;https://www.cambi.com/;Cambi ASA;14;4,85;2,89;7,33;0,84;0
FR0000079659;Financial Services;Asset Management;https://www.compagnie-du-cambodge.com/fr-fr;Compagnie du Cambodge;7000;0;0;0;1,22;0
NL0015435975;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.camparigroup.com/;Davide Campari-Milano N.V.;8,988;3,01;2,99;-8,1;0,48;0,06
BE0003825420;Industrials;Waste Management;https://www.campine.com/;Campine NV;74,5;83,2;0,9;3,24;0,57;0,06
BE0974298300;Financial Services;Asset Management;https://www.candelainvest.com/;Candela Invest SA;2,8;6,15;0,46;-10,77;0,44;0
FR0012969095;Real Estate;Real Estate - Development;https://capelli-immobilier.fr/;Capelli SA;5,84;367,31;0,02;0,65;0,07;0,44
FR0000125338;Technology;Information Technology Services;https://www.capgemini.com/;Capgemini SE;187,95;74,69;2,52;-7,12;0,5;0,01
NO0010923121;Industrials;Pollution & Treatment Controls;https://www.capsoltechnologies.com/;Capsol Technologies ASA;15,5;3,11;4,98;36,05;1,05;0
NO0010123060;;;;;1,525;0;0;0;0;0
FR0011648716;Basic Materials;Specialty Chemicals;https://www.carbios.com/;Carbios SAS;22,25;15,44;1,44;2,76;2,13;0
BE0974273055;Real Estate;REIT - Healthcare Facilities;https://carepropertyinvest.be/;Care Property Invest NV;12,92;33,14;0,39;-0,86;0,53;0,27
IT0005331019;Technology;Electronic Components;https://www.carel.com/;Carel Industries S.p.A.;17,06;4,77;3,58;-14,96;0,49;0,04
DE0005313704;Healthcare;Medical Instruments & Supplies;https://www.zeiss.com/meditec-ag/de/investor-relations.html?vaURL=www.zeiss.de/meditec-ag/ir;Carl Zeiss Meditec AG;68,1;0;0;0;0;0,01
FR0010907956;Healthcare;Medical Devices;https://www.carmatsa.com/;Carmat SA;2,415;1,54;1,57;-1,53;0,97;0
FR0010828137;Real Estate;REIT - Retail;https://www.carmila.com/;Carmila S.A.;15,84;47,27;0,34;-0,94;0,56;0,62
FR0000120172;Consumer Defensive;Grocery Stores;https://www.carrefour.com/;Carrefour SA;13,395;67,71;0,2;-0,47;0,23;0,21
FR001400OJ98;;;;;0,0005;0;0;0;0,14;0
IT0005003782;Communication Services;Entertainment;https://castadivagroup.com/;Casta Diva Group S.p.A.;1,434;2,43;0,59;-6,23;0,21;0
FR0010193052;Consumer Cyclical;Recreational Vehicles;https://www.catanagroup.com/;SA Catana Group;4,49;6,86;0,65;3,05;0,49;0
FR0000064446;Industrials;Specialty Business Services;https://www.cis-integratedservices.com/;Catering International & Services Société Anonyme;7,9;24,9;0,32;1,91;0,42;0,11
FR0014007LW0;Financial Services;Asset Management;https://cbicorp.io/;Crypto Blockchain Industries;0,235;0,04;5,87;-7,83;0,57;0
FR001400O416;;;;;0,0005;0;0;0;0,57;0
FR001400O408;;;;;0,0005;0;0;0;0,57;0
FR0010193979;Real Estate;Real Estate - Diversified;https://www.cboterritoria.com/;CBo Territoria SA;3,52;13,63;0,26;-0,99;0,53;1,84
DE0007257503;Consumer Cyclical;Specialty Retail;https://www.ceconomy.de/;Ceconomy AG;3,082;0;0;0;0;1,23
FR0000053506;Healthcare;Health Information Services;https://www.cegedim.com/;Cegedim SA;12,95;39,04;0,33;-0,59;0,31;0,1
FR0010425595;Healthcare;Biotechnology;https://www.cellectis.com/;Cellectis S.A.;1,692;0;0;0;0;0
IT0005244618;Technology;Consumer Electronics;https://www.cellularlinegroup.com/;Cellularline S.p.A.;2,6;6,69;0,39;2,03;0,61;0
BE0974260896;Healthcare;Biotechnology;https://www.celyad.com/;Celyad Oncology SA;0,2905;0;0;0;0;0
IT0001128047;Industrials;Electrical Equipment & Parts;https://www.cembre.it/;Cembre S.p.A.;38,95;0;0;0;0;0,11
NL0013995087;;;;;9,06;0;0;0;0;0
BE0974303357;Industrials;Electrical Equipment & Parts;https://cenergyholdings.com/;Cenergy Holdings SA;9,79;0;0;0;0;0
FR0013178712;Industrials;Specialty Industrial Machinery;https://www.cerinnov.com/;Cerinnov Group SA;1,39;0;0;0;0;0
BE0003883031;Industrials;Engineering & Construction;https://www.cfe.be/;Compagnie d'Entreprises CFE SA;7,52;0;0;0;0;0,32
FR0000037475;Real Estate;Real Estate Services;https://www.cfi-france.com/;CFI-Compagnie Foncière Internationale;0,51;0;0;0;91;5,08
MC0010000826;Financial Services;Banks - Regional;https://monaco.ca-indosuez.com/;CFM Indosuez Wealth Management SA;1100;0;0;0;0;0
