Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende
PLNW.PA;Technology;Software - Application;https://planisware.com/;PLANISWARE;22,8;3,17;7,19;14,43;1,67;0
IAM.PA;Communication Services;Telecom Services;https://www.iam.ma/;Itissalat Al-Maghrib (IAM) S.A.;8;55,76;0,14;-0,23;0,27;4,76
BAIN.PA;Consumer Cyclical;Resorts & Casinos;https://www.montecarlosbm.com/;Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco;104;87,14;1,19;-119,54;0,93;0,03
CNV.PA;Consumer Cyclical;Internet Retail;https://www.cnova.com/;Cnova N.V.;1,595;1,34;1,19;-0,62;0,8;0
CATR.PA;Industrials;Farm & Heavy Construction Machinery;https://www.caterpillar.com/;Caterpillar Inc.;321;159,39;2,01;-7;0,22;2,31
COTY.PA;Consumer Defensive;Household & Personal Products;https://www.coty.com/;Coty Inc.;9,946;5,44;1,83;-1,46;0,34;0
GNE.PA;Industrials;Aerospace & Defense;https://www.geaerospace.com/;General Electric Company;148,5;133,11;1,12;-2,21;0,21;0,47
MRK.PA;;;;;101,4;0;0;0;0,4;0
MALT.PA;Consumer Defensive;Beverages - Brewers;https://www.malteriesfrancobelges.fr/;Malteries Franco-Belges Société Anonyme;640;0;0;0;1,16;1,51
GALIM.PA;Real Estate;Real Estate Services;https://www.galimmo-sca.com/;Galimmo SCA;14,3;26,16;0,55;-1,65;0,61;4,46
ELEC.PA;Utilities;Utilities - Renewable;https://www.es.fr/;Électricite de Strasbourg Société Anonyme;121,5;0;0;0;0;4,43
SDG.PA;Industrials;Staffing & Employment Services;https://www.synergie.com/;Synergie SA;36,2;54,8;0,66;2,42;0,62;2,2
IMDA.PA;Real Estate;REIT - Diversified;https://www.immobiliere-dassault.com/;Immobiliere Dassault SA;49,3;125,1;0,39;-1,35;0,68;2,28
GAM.PA;Communication Services;Entertainment;https://www.gaumont.fr/;Gaumont SA;95;98,73;0,96;9,87;0,66;1,28
FNTS.PA;Consumer Defensive;Food Distribution;https://www.finatis.fr/;Finatis Société Anonyme;1,37;3280,5;0;0;0,12;4,96
CEN.PA;Industrials;Staffing & Employment Services;https://www.groupe-crit.com/;Groupe CRIT SA;73,6;117,93;0,62;2,23;0,79;2,14
EIFF.PA;Real Estate;REIT - Office;https://www.societetoureiffel.com/;Société de la Tour Eiffel;10,5;94,84;0,11;-0,22;0,43;5,36
LBIRD.PA;Healthcare;Diagnostics & Research;https://www.lumibird.com/;Lumibird SA;13,15;11,34;1,16;-93,93;0,68;0
CIV.PA;Financial Services;Banks - Regional;https://www.credit-agricole.fr/ca-illeetvilaine;Caisse régionale de Crédit Agricole Mutuel d'Ille-et-Vilaine Société coopérative;65,5;8876,57;0,01;-0,01;0,11;3,55
CAF.PA;Financial Services;Banks - Regional;https://ca-paris.com/;Caisse Régionale de Crédit Agricole Mutuel de Paris et d'Ile-de-France;67,3;9137,18;0,01;-0,01;0,1;4,27
VIL.PA;Financial Services;Capital Markets;https://www.viel.com/;VIEL & Cie, société anonyme;10,8;39,35;0,27;6,59;0,23;4,71
IDIP.PA;Financial Services;Asset Management;https://www.idi.fr/en;IDI;75,8;121,4;0,62;-4,09;0,85;4,71
SBT.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://oeneo.com/;Oeneo Société Anonyme;11,7;6,63;1,76;7,36;0,66;1,48
PCA.PA;;;https://finance.yahoo.com/sector/financial_services;;0;0;0;0;0;0
LTA.PA;Financial Services;Asset Management;https://www.altamir.fr/fr/;Altamir SCA;26,7;38,75;0,69;-8,64;0,92;4,15
EUR.PA;;;https://finance.yahoo.com/sector/real_estate;;0;0;0;0;0;0
SAMS.PA;Industrials;Industrial Distribution;https://www.samse.fr/;Samse SA;184;404,95;0,45;17,15;0,45;5,61
ORIA.PA;Real Estate;Real Estate Services;https://www.fiducial-real-estate.fr/;Fiducial Real Estate;177;285,22;0,62;-2,12;0,67;0,76
RAL.PA;Consumer Defensive;Grocery Stores;https://www.rallye.fr/;Rallye SA;0,0441;347,33;0;0;0,26;11,29
MBWS.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://en.mbws.com/;Marie Brizard Wine & Spirits SA;3,2;1,65;1,94;4,64;0,88;0
PERR.PA;Industrials;Electrical Equipment & Parts;https://www.gerard-perrier.com/en/home-page/;Gérard Perrier Industrie S.A.;96,8;60,41;1,6;6,84;0,57;2,36
FCMC.PA;Consumer Cyclical;Resorts & Casinos;https://www.groupesfcmc.com/;Société Fermière du Casino Municipal de Cannes;1500;0;0;0;0,7;0
BLEE.PA;Real Estate;REIT - Diversified;https://www.bleecker.fr/;Bleecker Société Anonyme;156;653,64;0,24;-0,44;0,41;3,08
AAA.PA;Industrials;Consulting Services;https://www.alan-allman.com/;Alan Allman Associates;8,9;3,11;2,86;-2,04;0,18;0
VRAP.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.vrankenpommery.com/;Vranken-Pommery Monopole Société Anonyme;15,8;136,75;0,12;-0,94;0,31;3,8
AUB.PA;Technology;Information Technology Services;https://www.aubay.com/;Aubay Société Anonyme;45,05;24,91;1,81;6,04;0,72;2,13
INF.PA;Technology;Information Technology Services;https://www.infotel.com/;Infotel SA;47,4;34,02;1,39;7,67;0,74;3,38
SAVE.PA;Consumer Defensive;Packaged Foods;https://savencia-fromagedairy.com/;Savencia SA;52;359,46;0,14;-3,76;0,39;1,74
NRG.PA;Communication Services;Broadcasting;https://www.nrjgroup.fr/;NRJ Group SA;7,78;8,34;0,93;2;1,23;0
CNDF.PA;Financial Services;Banks - Regional;https://communication.ca-norddefrance.fr/;Caisse Régionale de Crédit Agricole Mutuel Nord de France Société coopérative;14,18;2371,3;0,01;-0,01;0,14;4,58
XIL.PA;Communication Services;Entertainment;https://xilam.com/;Xilam Animation;4,895;10,6;0,46;-0,77;0,48;0
ABCA.PA;Financial Services;Asset Management;https://www.abc-arbitrage.com/;ABC arbitrage SA;4,195;3,07;1,37;-13,98;0,9;5,8
NRO.PA;Technology;Information Technology Services;https://www.neurones.net/;Neurones S.A.;46,55;25,6;1,82;4,04;0,94;0,38
ESI.PA;;;https://finance.yahoo.com/sector/real_estate;;0;0;0;0;0;0
SFPI.PA;Industrials;Specialty Industrial Machinery;https://www.sfpi-group.com/;GROUPE SFPI SA;2;6,08;0,33;5,56;0,49;0
LIN.PA;Technology;Software - Application;https://www.linedata.com/;Linedata Services SA;74;23,42;3,16;-3,19;0,4;3,73
SELER.PA;Real Estate;REIT - Retail;https://www.selectirente.com/;Selectirente;89;146,13;0,61;-1,77;0,62;3,95
SWP.PA;Technology;Software - Application;https://www.sword-group.com/;Sword Group S.E.;36,1;18,53;1,95;30,08;0,55;4,13
EXE.PA;Industrials;Farm & Heavy Construction Machinery;https://www.exel-industries.com/;EXEL Industries SA;56;116,36;0,48;2,7;0,54;1,82
TNG.PA;Healthcare;Biotechnology;https://www.transgene.fr/;Transgene SA;1,326;0,45;2,95;-11,05;0,53;0
LPE.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.finance-groupelp.com/;Laurent-Perrier S.A.;122,5;175,8;0,7;2,24;0,57;1,29
VTR.PA;Real Estate;REIT - Office;https://www.vitura.fr/;Vitura SA;7,05;90,83;0,08;-0,15;0,44;6,89
